format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
e5m8,ieee,14,fp32,lut_scattered_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,0,0,0.00934400037,ok
e5m8,ieee,14,fp32,lut_scattered_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,0,1,0.0312959999,ok
posit14_es1,posit,14,fp32,lut_scattered_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,0,2,0.00838399958,ok
posit14_es1,posit,14,fp32,lut_scattered_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,0,3,0.0311360005,ok
takum14,takum,14,fp32,lut_scattered_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,0,4,0.00835200027,ok
takum14,takum,14,fp32,lut_scattered_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,0,5,0.0313920006,ok
takum_log14,takum_log,14,fp32,lut_scattered_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,0,6,0.00828799978,ok
takum_log14,takum_log,14,fp32,lut_scattered_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,0,7,0.0311360005,ok
e5m8,ieee,14,fp32,lut_scattered_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,1,0,0.0308480002,ok
posit14_es1,posit,14,fp32,lut_scattered_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,1,1,0.00841599982,ok
posit14_es1,posit,14,fp32,lut_scattered_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,1,2,0.0310079996,ok
takum14,takum,14,fp32,lut_scattered_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,1,3,0.00812800042,ok
takum14,takum,14,fp32,lut_scattered_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,1,4,0.0311999992,ok
takum_log14,takum_log,14,fp32,lut_scattered_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,1,5,0.00854399987,ok
takum_log14,takum_log,14,fp32,lut_scattered_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,1,6,0.0314240009,ok
e5m8,ieee,14,fp32,lut_scattered_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,1,7,0.00809600018,ok
e5m8,ieee,14,fp32,lut_scattered_control,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,0,0,0.00505599985,ok
e5m8,ieee,14,fp32,lut_scattered_control,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,0,1,0.0156800002,ok
