format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
bf16_e8m7,fp64,field_balanced_finite,sign,0,2048,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,sign,1,2048,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,0,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,1,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,2,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,3,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,4,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,5,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,6,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,7,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,8,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,9,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,10,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,11,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,12,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,13,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,14,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,15,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,16,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,17,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,18,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,19,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,20,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,21,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,22,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,23,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,24,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,25,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,26,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,27,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,28,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,29,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,30,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,31,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,32,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,33,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,34,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,35,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,36,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,37,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,38,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,39,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,40,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,41,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,42,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,43,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,44,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,45,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,46,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,47,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,48,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,49,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,50,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,51,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,52,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,53,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,54,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,55,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,56,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,57,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,58,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,59,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,60,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,61,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,62,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,63,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,64,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,65,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,66,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,67,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,68,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,69,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,70,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,71,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,72,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,73,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,74,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,75,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,76,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,77,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,78,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,79,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,80,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,81,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,82,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,83,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,84,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,85,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,86,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,87,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,88,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,89,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,90,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,91,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,92,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,93,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,94,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,95,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,96,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,97,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,98,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,99,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,100,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,101,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,102,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,103,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,104,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,105,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,106,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,107,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,108,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,109,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,110,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,111,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,112,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,113,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,114,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,115,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,116,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,117,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,118,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,119,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,120,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,121,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,122,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,123,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,124,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,125,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,126,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,127,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,128,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,129,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,130,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,131,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,132,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,133,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,134,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,135,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,136,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,137,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,138,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,139,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,140,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,141,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,142,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,143,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,144,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,145,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,146,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,147,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,148,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,149,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,150,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,151,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,152,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,153,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,154,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,155,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,156,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,157,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,158,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,159,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,160,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,161,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,162,17,-119.967,120
bf16_e8m7,fp64,field_balanced_finite,field_bucket,163,17,-119.967,120
