format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
e2m11,fp64,field_balanced_finite,sign,0,2048,-10,1
e2m11,fp64,field_balanced_finite,sign,1,2048,-10,1
e2m11,fp64,field_balanced_finite,field_bucket,0,1024,-10,1
e2m11,fp64,field_balanced_finite,field_bucket,1,1024,-10,1
e2m11,fp64,field_balanced_finite,field_bucket,2,2048,-10,1
e2m11,fp64,field_balanced_finite,exponent,0,2048,-10,1
e2m11,fp64,field_balanced_finite,exponent,1,1024,-10,1
e2m11,fp64,field_balanced_finite,exponent,2,1024,-10,1
e2m11,fp64,field_balanced_finite,subnormal,0,2048,-10,1
e2m11,fp64,field_balanced_finite,subnormal,1,2048,-10,1
e2m11,fp64,paired_log_uniform_finite,sign,0,2048,-10,1
e2m11,fp64,paired_log_uniform_finite,sign,1,2048,-10,1
e2m11,fp64,paired_log_uniform_finite,log_interval,all,4096,-10,1
