format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
e3m12,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,0,0,0.0106560001,ok
e3m12,ieee,16,fp64,field_balanced_finite,dot,subnormal_lut_global,dense,scalar,1,65536,1,262144,32768,2048,0,1,0.00822400022,ok
e3m12,ieee,16,fp64,field_balanced_finite,dot,subnormal_lut_global,dense,scalar,1,65536,1,262144,32768,2048,1,0,0.00803199969,ok
e3m12,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,1,1,0.00812800042,ok
e3m12,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,0,0,0.00569600007,ok
e3m12,ieee,16,fp64,field_balanced_finite,gemv,subnormal_lut_global,dense,scalar,1,256,16,8704,32768,2048,0,1,0.00496000005,ok
e3m12,ieee,16,fp64,field_balanced_finite,gemv,subnormal_lut_global,dense,scalar,1,256,16,8704,32768,2048,1,0,0.00524799991,ok
e3m12,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,1,1,0.00524799991,ok
e3m12,ieee,16,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,0,0,0.0088320002,ok
e3m12,ieee,16,fp64,paired_log_uniform_finite,dot,subnormal_lut_global,dense,scalar,1,65536,1,262144,32768,2048,0,1,0.00899199955,ok
e3m12,ieee,16,fp64,paired_log_uniform_finite,dot,subnormal_lut_global,dense,scalar,1,65536,1,262144,32768,2048,1,0,0.00857600011,ok
e3m12,ieee,16,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,1,1,0.0090239998,ok
e3m12,ieee,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,0,0,0.00515200011,ok
e3m12,ieee,16,fp64,paired_log_uniform_finite,gemv,subnormal_lut_global,dense,scalar,1,256,16,8704,32768,2048,0,1,0.00547200022,ok
e3m12,ieee,16,fp64,paired_log_uniform_finite,gemv,subnormal_lut_global,dense,scalar,1,256,16,8704,32768,2048,1,0,0.00569600007,ok
e3m12,ieee,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,1,1,0.00470399996,ok
