format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
fp8_e5m2,fp32,field_balanced_finite,sign,0,2048,-15,15
fp8_e5m2,fp32,field_balanced_finite,sign,1,2048,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,0,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,1,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,2,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,3,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,4,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,5,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,6,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,7,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,8,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,9,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,10,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,11,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,12,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,13,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,14,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,15,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,16,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,17,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,18,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,19,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,20,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,21,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,22,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,23,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,24,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,25,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,26,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,27,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,28,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,29,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,field_bucket,30,2048,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,0,2048,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,1,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,2,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,3,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,4,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,5,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,6,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,7,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,8,69,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,9,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,10,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,11,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,12,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,13,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,14,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,15,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,16,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,17,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,18,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,19,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,20,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,21,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,22,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,23,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,24,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,25,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,26,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,27,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,28,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,29,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,exponent,30,68,-15,15
fp8_e5m2,fp32,field_balanced_finite,subnormal,0,2048,-15,15
fp8_e5m2,fp32,field_balanced_finite,subnormal,1,2048,-15,15
fp8_e5m2,fp32,paired_log_uniform_finite,sign,0,2048,-15,15
fp8_e5m2,fp32,paired_log_uniform_finite,sign,1,2048,-15,15
fp8_e5m2,fp32,paired_log_uniform_finite,log_interval,all,4096,-15,15
