format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
fp8_e5m2,ieee,8,fp32,field_balanced_finite,dot,native_scalar,dense,scalar,1,65536,1,131072,0,1024,0,0,0.00956800021,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,1024,2048,0,1,0.00755200023,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,1024,1024,0,2,0.00771200005,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,1024,2048,1,0,0.00723200012,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,1024,1024,1,1,0.00723200012,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,dot,native_scalar,dense,scalar,1,65536,1,131072,0,1024,1,2,0.00729600014,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,gemv,native_scalar,dense,scalar,1,256,16,4352,0,1024,0,0,0.00422400003,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,1024,2048,0,1,0.00438399985,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,1024,1024,0,2,0.00438399985,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,1024,2048,1,0,0.00463999994,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,1024,1024,1,1,0.00428800005,ok
fp8_e5m2,ieee,8,fp32,field_balanced_finite,gemv,native_scalar,dense,scalar,1,256,16,4352,0,1024,1,2,0.00416000001,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,dot,native_scalar,dense,scalar,1,65536,1,131072,0,1024,0,0,0.0072639999,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,1024,2048,0,1,0.00758400001,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,1024,1024,0,2,0.00713599985,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,1024,2048,1,0,0.00784000009,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,1024,1024,1,1,0.00723200012,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,dot,native_scalar,dense,scalar,1,65536,1,131072,0,1024,1,2,0.00691200001,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,gemv,native_scalar,dense,scalar,1,256,16,4352,0,1024,0,0,0.00483200001,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,1024,2048,0,1,0.00425599981,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,1024,1024,0,2,0.00473600021,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,1024,2048,1,0,0.00422400003,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,1024,1024,1,1,0.00457599992,ok
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,gemv,native_scalar,dense,scalar,1,256,16,4352,0,1024,1,2,0.00403199997,ok
