format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
takum14,fp32,field_balanced_finite,sign,0,2048,-140,127
takum14,fp32,field_balanced_finite,sign,1,2048,-140,127
takum14,fp32,field_balanced_finite,field_bucket,0,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,1,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,2,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,3,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,4,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,5,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,6,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,7,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,8,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,9,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,10,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,11,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,12,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,13,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,14,256,-140,127
takum14,fp32,field_balanced_finite,field_bucket,15,256,-140,127
takum14,fp32,field_balanced_finite,direction,0,2048,-140,127
takum14,fp32,field_balanced_finite,direction,1,2048,-140,127
takum14,fp32,field_balanced_finite,regime,0,512,-140,127
takum14,fp32,field_balanced_finite,regime,1,512,-140,127
takum14,fp32,field_balanced_finite,regime,2,512,-140,127
takum14,fp32,field_balanced_finite,regime,3,512,-140,127
takum14,fp32,field_balanced_finite,regime,4,512,-140,127
takum14,fp32,field_balanced_finite,regime,5,512,-140,127
takum14,fp32,field_balanced_finite,regime,6,512,-140,127
takum14,fp32,field_balanced_finite,regime,7,512,-140,127
takum14,fp32,field_balanced_finite,characteristic,-140,26,-140,127
takum14,fp32,field_balanced_finite,characteristic,-139,20,-140,127
takum14,fp32,field_balanced_finite,characteristic,-138,21,-140,127
takum14,fp32,field_balanced_finite,characteristic,-137,27,-140,127
takum14,fp32,field_balanced_finite,characteristic,-136,22,-140,127
takum14,fp32,field_balanced_finite,characteristic,-135,15,-140,127
takum14,fp32,field_balanced_finite,characteristic,-134,22,-140,127
takum14,fp32,field_balanced_finite,characteristic,-133,14,-140,127
takum14,fp32,field_balanced_finite,characteristic,-132,24,-140,127
takum14,fp32,field_balanced_finite,characteristic,-131,15,-140,127
takum14,fp32,field_balanced_finite,characteristic,-130,13,-140,127
takum14,fp32,field_balanced_finite,characteristic,-129,17,-140,127
takum14,fp32,field_balanced_finite,characteristic,-128,20,-140,127
takum14,fp32,field_balanced_finite,characteristic,-127,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-126,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-125,1,-140,127
takum14,fp32,field_balanced_finite,characteristic,-124,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-123,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-122,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-121,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-120,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-119,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-118,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-117,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,-116,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-115,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,-114,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-113,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-112,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-111,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,-110,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-109,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-107,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-106,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-105,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-104,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-103,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-102,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-101,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,-100,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-99,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-98,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-97,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-96,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-95,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-94,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-93,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-92,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-91,1,-140,127
takum14,fp32,field_balanced_finite,characteristic,-90,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-89,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-88,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-87,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,-86,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-85,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-84,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-83,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-82,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-81,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-80,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-79,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-78,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-77,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-76,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-75,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-74,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-73,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-72,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-71,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-70,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-69,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,-68,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,-67,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-66,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-65,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-64,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-63,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,-62,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-61,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,-60,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,-59,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-58,11,-140,127
takum14,fp32,field_balanced_finite,characteristic,-57,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-56,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-55,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-54,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,-53,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-52,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-51,11,-140,127
