format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
takum_log16,fp32,field_balanced_finite,sign,0,2048,-119.969,119.834
takum_log16,fp32,field_balanced_finite,sign,1,2048,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,0,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,1,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,2,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,3,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,4,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,5,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,6,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,7,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,8,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,9,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,10,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,11,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,12,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,13,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,14,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,field_bucket,15,256,-119.969,119.834
takum_log16,fp32,field_balanced_finite,direction,0,2048,-119.969,119.834
takum_log16,fp32,field_balanced_finite,direction,1,2048,-119.969,119.834
takum_log16,fp32,field_balanced_finite,regime,0,512,-119.969,119.834
takum_log16,fp32,field_balanced_finite,regime,1,512,-119.969,119.834
takum_log16,fp32,field_balanced_finite,regime,2,512,-119.969,119.834
takum_log16,fp32,field_balanced_finite,regime,3,512,-119.969,119.834
takum_log16,fp32,field_balanced_finite,regime,4,512,-119.969,119.834
takum_log16,fp32,field_balanced_finite,regime,5,512,-119.969,119.834
takum_log16,fp32,field_balanced_finite,regime,6,512,-119.969,119.834
takum_log16,fp32,field_balanced_finite,regime,7,512,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-167,1,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-166,10,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-165,8,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-164,3,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-163,10,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-162,5,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-161,8,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-160,7,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-159,7,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-158,7,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-157,7,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-156,2,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-155,6,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-154,6,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-153,7,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-152,6,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-151,10,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-150,5,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-149,10,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-148,5,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-147,4,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-146,6,-119.969,119.834
takum_log16,fp32,field_balanced_finite,characteristic,-145,8,-119.969,119.834
