format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,262144,0,1024,0,0,0.0111999996,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,262144,1024,0,1,0.00771200005,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,262144,1024,1,0,0.00745599996,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,262144,0,1024,1,1,0.00860800035,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,8704,0,1024,0,0,0.00579199987,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,262144,1024,0,1,0.00448000012,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,262144,1024,1,0,0.0044160001,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,8704,0,1024,1,1,0.00543999998,ok
takum_log16,takum_log,16,fp32,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,262144,0,1024,0,0,0.00937599968,ok
takum_log16,takum_log,16,fp32,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,262144,1024,0,1,0.00838399958,ok
takum_log16,takum_log,16,fp32,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,262144,1024,1,0,0.0088320002,ok
takum_log16,takum_log,16,fp32,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,262144,0,1024,1,1,0.00851199962,ok
takum_log16,takum_log,16,fp32,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,8704,0,1024,0,0,0.00579199987,ok
takum_log16,takum_log,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,262144,1024,0,1,0.00467200018,ok
takum_log16,takum_log,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,262144,1024,1,0,0.00476799998,ok
takum_log16,takum_log,16,fp32,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,8704,0,1024,1,1,0.00563200004,ok
takum_log16,takum_log,16,fp64,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,262144,0,2048,0,0,0.0098240003,ok
takum_log16,takum_log,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,0,1,0.00803199969,ok
takum_log16,takum_log,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,1,0,0.00812800042,ok
takum_log16,takum_log,16,fp64,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,262144,0,2048,1,1,0.00899199955,ok
takum_log16,takum_log,16,fp64,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,8704,0,2048,0,0,0.00563200004,ok
takum_log16,takum_log,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,0,1,0.00460800016,ok
takum_log16,takum_log,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,1,0,0.00460800016,ok
takum_log16,takum_log,16,fp64,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,8704,0,2048,1,1,0.0055999998,ok
takum_log16,takum_log,16,fp64,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,262144,0,2048,0,0,0.00921600033,ok
takum_log16,takum_log,16,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,0,1,0.00860800035,ok
takum_log16,takum_log,16,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,1,0,0.00870400015,ok
takum_log16,takum_log,16,fp64,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,262144,0,2048,1,1,0.0088320002,ok
takum_log16,takum_log,16,fp64,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,8704,0,2048,0,0,0.00591999991,ok
takum_log16,takum_log,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,0,1,0.00486399978,ok
takum_log16,takum_log,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,1,0,0.00473600021,ok
takum_log16,takum_log,16,fp64,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,8704,0,2048,1,1,0.00547200022,ok
