question,bits,arithmetic,distribution,kernel,numerator_format,numerator_strategy,denominator_format,denominator_strategy,ratio,ci_lower,ci_upper,classification,interval_method,note
1,14,fp32,field_balanced_finite,dot,posit14_es1,full_lut_global,posit14_es1,direct,0.374031608,0.373479485,0.374301012,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,dot,posit14_es1,full_lut_shared,posit14_es1,direct,0.723024671,0.721901664,0.723566572,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,gemv,posit14_es1,full_lut_global,posit14_es1,direct,0.297223284,0.295747878,0.297872304,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,gemv,posit14_es1,full_lut_shared,posit14_es1,direct,0.629966679,0.625756574,0.633845494,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,dot,posit14_es1,full_lut_global,posit14_es1,direct,0.400393812,0.399881463,0.400943856,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,dot,posit14_es1,full_lut_shared,posit14_es1,direct,0.727804059,0.727067949,0.729094747,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,gemv,posit14_es1,full_lut_global,posit14_es1,direct,0.33932643,0.338598377,0.339929418,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,gemv,posit14_es1,full_lut_shared,posit14_es1,direct,0.640413386,0.638508841,0.64214705,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,field_balanced_finite,dot,posit14_es1,full_lut_global,posit14_es1,direct,0.38091858,0.38046762,0.381421907,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,field_balanced_finite,dot,posit14_es1,full_lut_shared,posit14_es1,direct,1.4555423,1.45418296,1.45682512,numerator_slower,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,field_balanced_finite,gemv,posit14_es1,full_lut_global,posit14_es1,direct,0.302102434,0.301019254,0.304128501,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,field_balanced_finite,gemv,posit14_es1,full_lut_shared,posit14_es1,direct,1.526365,1.52143441,1.54151643,numerator_slower,paired_round_bootstrap,alternative strategy divided by direct
