format,family,bits,arithmetic,distribution,kernel,winning_strategy,median_ms
bf16_e8m7,ieee,16,fp32,field_balanced_finite,dot,native_scalar,0.489536003
bf16_e8m7,ieee,16,fp32,field_balanced_finite,gemv,native_scalar,0.114528
bf16_e8m7,ieee,16,fp32,paired_log_uniform_finite,dot,native_scalar,0.490383998
bf16_e8m7,ieee,16,fp32,paired_log_uniform_finite,gemv,native_scalar,0.114592001
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,0.500159979
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,0.118207998
bf16_e8m7,ieee,16,fp64,paired_log_uniform_finite,dot,native_scalar,0.500671983
bf16_e8m7,ieee,16,fp64,paired_log_uniform_finite,gemv,native_scalar,0.118416
e10m21,ieee,32,fp64,field_balanced_finite,dot,direct_branchy,0.92443201
e10m21,ieee,32,fp64,field_balanced_finite,gemv,direct_branchy,0.202848002
e10m21,ieee,32,fp64,paired_log_uniform_finite,dot,direct_branchy,0.923951983
e10m21,ieee,32,fp64,paired_log_uniform_finite,gemv,direct_branchy,0.202927999
e11m2,ieee,14,fp64,field_balanced_finite,dot,direct_masked,0.490208
e11m2,ieee,14,fp64,field_balanced_finite,gemv,direct_masked,0.161775999
e11m2,ieee,14,fp64,paired_log_uniform_finite,dot,direct_masked,0.48984
e11m2,ieee,14,fp64,paired_log_uniform_finite,gemv,direct_masked,0.163248002
e11m20,ieee,32,fp64,field_balanced_finite,dot,direct_masked,0.51867199
e11m20,ieee,32,fp64,field_balanced_finite,gemv,direct_masked,0.121808
e11m20,ieee,32,fp64,paired_log_uniform_finite,dot,direct_masked,0.518848002
e11m20,ieee,32,fp64,paired_log_uniform_finite,gemv,direct_masked,0.121935997
e11m4,ieee,16,fp64,field_balanced_finite,dot,direct_masked,0.489487991
e11m4,ieee,16,fp64,field_balanced_finite,gemv,direct_masked,0.114927999
e11m4,ieee,16,fp64,paired_log_uniform_finite,dot,direct_masked,0.489791989
e11m4,ieee,16,fp64,paired_log_uniform_finite,gemv,direct_masked,0.114880003
e2m11,ieee,14,fp32,field_balanced_finite,dot,full_lut_global,0.526208013
e2m11,ieee,14,fp32,field_balanced_finite,gemv,full_lut_global,0.183119998
e2m11,ieee,14,fp32,paired_log_uniform_finite,dot,full_lut_global,0.552287996
e2m11,ieee,14,fp32,paired_log_uniform_finite,gemv,full_lut_global,0.230896004
e2m11,ieee,14,fp64,field_balanced_finite,dot,full_lut_global,0.536816001
e2m11,ieee,14,fp64,field_balanced_finite,gemv,full_lut_global,0.191263996
e2m11,ieee,14,fp64,paired_log_uniform_finite,dot,full_lut_global,0.573152006
e2m11,ieee,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,0.254639998
e3m12,ieee,16,fp32,field_balanced_finite,dot,full_lut_global,0.525967986
e3m12,ieee,16,fp32,field_balanced_finite,gemv,full_lut_global,0.177968003
e3m12,ieee,16,fp32,paired_log_uniform_finite,dot,full_lut_global,0.601535976
e3m12,ieee,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,0.224016003
e3m12,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,0.523999989
e3m12,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,0.184271999
e3m12,ieee,16,fp64,paired_log_uniform_finite,dot,full_lut_global,0.68860799
e3m12,ieee,16,fp64,paired_log_uniform_finite,gemv,subnormal_lut_global,0.255071997
e3m4,ieee,8,fp32,field_balanced_finite,dot,full_lut_shared,0.488575995
e3m4,ieee,8,fp32,field_balanced_finite,gemv,full_lut_shared,0.116175998
e3m4,ieee,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,0.487535998
e3m4,ieee,8,fp32,paired_log_uniform_finite,gemv,full_lut_shared,0.117055997
e3m4,ieee,8,fp64,field_balanced_finite,dot,full_lut_shared,0.488416001
e3m4,ieee,8,fp64,field_balanced_finite,gemv,full_lut_shared,0.117600001
e3m4,ieee,8,fp64,paired_log_uniform_finite,dot,full_lut_shared,0.499696001
e3m4,ieee,8,fp64,paired_log_uniform_finite,gemv,full_lut_shared,0.134847999
e4m27,ieee,32,fp64,field_balanced_finite,dot,direct_branchy,0.958400011
e4m27,ieee,32,fp64,field_balanced_finite,gemv,direct_branchy,0.221440002
e4m27,ieee,32,fp64,paired_log_uniform_finite,dot,direct_branchy,1.07835197
e4m27,ieee,32,fp64,paired_log_uniform_finite,gemv,direct_branchy,0.399263992
e5m8,ieee,14,fp32,field_balanced_finite,dot,full_lut_global,0.525584012
e5m8,ieee,14,fp32,field_balanced_finite,gemv,full_lut_global,0.188368
e5m8,ieee,14,fp32,paired_log_uniform_finite,dot,full_lut_global,0.590512007
e5m8,ieee,14,fp32,paired_log_uniform_finite,gemv,full_lut_global,0.275856004
e5m8,ieee,14,fp64,field_balanced_finite,dot,full_lut_global,0.536848009
e5m8,ieee,14,fp64,field_balanced_finite,gemv,full_lut_global,0.187824004
e5m8,ieee,14,fp64,paired_log_uniform_finite,dot,full_lut_global,0.61147201
e5m8,ieee,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,0.285696
