format,family,bits,arithmetic,distribution,kernel,strategy,samples,median_ms,minimum_ms,maximum_ms
bf16_e8m7,ieee,16,fp32,field_balanced_finite,dot,full_lut_global,30,0.516335994,0.513952017,0.519616008
bf16_e8m7,ieee,16,fp32,field_balanced_finite,dot,native_scalar,30,0.489536003,0.487168014,0.493407995
bf16_e8m7,ieee,16,fp32,field_balanced_finite,gemv,full_lut_global,30,0.193743996,0.188319996,0.201695994
bf16_e8m7,ieee,16,fp32,field_balanced_finite,gemv,native_scalar,30,0.114528,0.113760002,0.117536001
bf16_e8m7,ieee,16,fp32,paired_log_uniform_finite,dot,full_lut_global,30,0.689631999,0.683583975,0.69401598
bf16_e8m7,ieee,16,fp32,paired_log_uniform_finite,dot,native_scalar,30,0.490383998,0.487839997,0.493663996
bf16_e8m7,ieee,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,30,0.251919999,0.249824002,0.253183991
bf16_e8m7,ieee,16,fp32,paired_log_uniform_finite,gemv,native_scalar,30,0.114592001,0.113824002,0.117055997
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,30,0.524416029,0.521727979,0.526431978
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,30,0.500159979,0.498528004,0.505792022
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,30,0.204191998,0.198303998,0.210912004
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,30,0.118207998,0.117600001,0.121312
bf16_e8m7,ieee,16,fp64,paired_log_uniform_finite,dot,full_lut_global,30,0.791695982,0.786559999,0.797056019
bf16_e8m7,ieee,16,fp64,paired_log_uniform_finite,dot,native_scalar,30,0.500671983,0.498176008,0.505119979
bf16_e8m7,ieee,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,30,0.679647982,0.669503987,0.686912
bf16_e8m7,ieee,16,fp64,paired_log_uniform_finite,gemv,native_scalar,30,0.118416,0.117856003,0.120640002
e10m21,ieee,32,fp64,field_balanced_finite,dot,direct_branchy,30,0.92443201,0.921055973,0.928543985
e10m21,ieee,32,fp64,field_balanced_finite,dot,prefix_lut_global,30,0.959600002,0.957152009,0.964352012
e10m21,ieee,32,fp64,field_balanced_finite,gemv,direct_branchy,30,0.202848002,0.201343998,0.206624001
e10m21,ieee,32,fp64,field_balanced_finite,gemv,prefix_lut_global,30,0.272960007,0.269151986,0.276383996
