format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,0,0,0.505792022,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,0,1,0.526431978,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,1,0,0.524096012,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,1,1,0.498751998,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,2,0,0.500096023,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,2,1,0.522783995,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,3,0,0.525247991,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,3,1,0.502175987,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,4,0,0.501631975,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,4,1,0.52412802,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,5,0,0.52569598,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,5,1,0.500415981,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,6,0,0.501312017,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,6,1,0.524416029,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,7,0,0.524959981,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,7,1,0.499136001,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,8,0,0.499680012,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,8,1,0.523104012,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,9,0,0.524416029,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,9,1,0.498528004,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,10,0,0.5,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,10,1,0.525471985,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,11,0,0.525792003,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,11,1,0.505151987,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,12,0,0.500191987,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,12,1,0.522527993,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,13,0,0.525471985,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,13,1,0.501951993,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,14,0,0.498751998,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,14,1,0.523455977,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,15,0,0.524096012,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,15,1,0.499552011,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,16,0,0.500127971,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,16,1,0.52611202,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,17,0,0.524640024,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,17,1,0.50070399,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,18,0,0.501183987,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,18,1,0.522880018,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,19,0,0.525727987,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,19,1,0.499743998,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,20,0,0.500895977,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,20,1,0.523711979,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,21,0,0.523904026,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,21,1,0.500735998,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,22,0,0.503167987,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,22,1,0.525344014,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,23,0,0.524384022,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,23,1,0.498560011,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,24,0,0.500256002,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,24,1,0.525439978,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,25,0,0.52512002,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,25,1,0.50028801,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,26,0,0.500127971,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,26,1,0.522719979,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,27,0,0.52611202,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,27,1,0.500064015,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,28,0,0.49971199,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,28,1,0.524384022,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,29,0,0.521727979,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,29,1,0.500064015,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,dense,scalar,1,65536,1024,134348800,0,2048,0,0,0.121312,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,0,1,0.209408,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,1,0,0.198303998,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,dense,scalar,1,65536,1024,134348800,0,2048,1,1,0.119263999,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,dense,scalar,1,65536,1024,134348800,0,2048,2,0,0.118239999,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,2,1,0.207583994,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,3,0,0.199744001,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,dense,scalar,1,65536,1024,134348800,0,2048,3,1,0.118432,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,dense,scalar,1,65536,1024,134348800,0,2048,4,0,0.118880004,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,4,1,0.207424,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,5,0,0.200736001,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,dense,scalar,1,65536,1024,134348800,0,2048,5,1,0.117696002,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,dense,scalar,1,65536,1024,134348800,0,2048,6,0,0.117919996,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,6,1,0.208447993,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,7,0,0.200320005,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,dense,scalar,1,65536,1024,134348800,0,2048,7,1,0.117951997,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,dense,scalar,1,65536,1024,134348800,0,2048,8,0,0.118239999,ok
bf16_e8m7,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,8,1,0.208128005,ok
