format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
e4m27,fp64,field_balanced_finite,sign,0,32768,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,sign,1,32768,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,0,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,1,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,2,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,3,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,4,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,5,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,6,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,7,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,8,2520,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,9,2520,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,10,2520,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,11,2520,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,12,2520,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,field_bucket,13,32768,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,0,32768,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,1,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,2,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,3,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,4,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,5,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,6,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,7,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,8,2521,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,9,2520,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,10,2520,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,11,2520,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,12,2520,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,exponent,13,2520,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,subnormal,0,32768,-22.0663,6.99964
e4m27,fp64,field_balanced_finite,subnormal,1,32768,-22.0663,6.99964
e4m27,fp64,paired_log_uniform_finite,sign,0,32768,-30,6.99999
e4m27,fp64,paired_log_uniform_finite,sign,1,32768,-30,6.99999
e4m27,fp64,paired_log_uniform_finite,log_interval,all,65536,-30,6.99999
