format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,0,0,0.503808022,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,0,1,0.52412802,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,1,0,0.524479985,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,1,1,0.503232002,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,2,0,0.499327987,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,2,1,0.52412802,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,3,0,0.525471985,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,3,1,0.499199986,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,4,0,0.50128001,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,4,1,0.523808002,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,5,0,0.524640024,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,5,1,0.498239994,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,6,0,0.501984,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,6,1,0.523199975,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,7,0,0.526751995,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,7,1,0.500096023,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,8,0,0.498463988,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,8,1,0.523552001,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,9,0,0.525439978,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,9,1,0.500096023,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,10,0,0.500191987,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,10,1,0.523935974,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,11,0,0.521824002,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,11,1,0.500768006,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,12,0,0.499615997,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,12,1,0.525279999,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,13,0,0.524767995,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,13,1,0.501344025,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,14,0,0.501536012,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,14,1,0.524767995,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,15,0,0.523999989,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,15,1,0.500512004,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,16,0,0.499264002,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,16,1,0.524384022,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,17,0,0.52867198,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,17,1,0.503167987,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,18,0,0.499136001,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,18,1,0.52412802,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,19,0,0.52710402,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,19,1,0.501760006,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,20,0,0.500735998,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,20,1,0.526655972,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,21,0,0.523999989,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,21,1,0.500032008,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,22,0,0.499839991,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,22,1,0.526495993,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,23,0,0.525759995,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,23,1,0.500352025,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,24,0,0.500832021,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,24,1,0.523392022,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,25,0,0.525056005,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,25,1,0.501344025,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,26,0,0.500447989,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,26,1,0.522816002,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,27,0,0.523967981,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,27,1,0.501471996,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,28,0,0.502752006,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,28,1,0.527647972,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,524288,2048,29,0,0.525503993,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,dense,scalar,1,134217728,1,536870912,0,2048,29,1,0.500383973,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,dense,scalar,1,65536,1024,134348800,0,2048,0,0,0.121983998,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,0,1,0.186207995,ok
fp16_e5m10,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,65536,1024,134348800,524288,2048,1,0,0.183456004,ok
