format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
fp8_e4m3,fp64,field_balanced_finite,sign,0,32768,-8,8
fp8_e4m3,fp64,field_balanced_finite,sign,1,32768,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,0,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,1,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,2,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,3,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,4,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,5,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,6,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,7,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,8,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,9,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,10,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,11,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,12,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,13,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,14,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,field_bucket,15,32768,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,0,32768,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,1,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,2,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,3,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,4,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,5,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,6,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,7,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,8,2185,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,9,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,10,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,11,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,12,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,13,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,14,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,exponent,15,2184,-8,8
fp8_e4m3,fp64,field_balanced_finite,subnormal,0,32768,-8,8
fp8_e4m3,fp64,field_balanced_finite,subnormal,1,32768,-8,8
fp8_e4m3,fp64,paired_log_uniform_finite,sign,0,32768,-8,8
fp8_e4m3,fp64,paired_log_uniform_finite,sign,1,32768,-8,8
fp8_e4m3,fp64,paired_log_uniform_finite,log_interval,all,65536,-8,8
