format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
posit32_es2,fp32,field_balanced_finite,sign,0,32768,-112,112
posit32_es2,fp32,field_balanced_finite,sign,1,32768,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,0,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,1,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,2,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,3,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,4,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,5,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,6,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,7,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,8,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,9,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,10,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,11,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,12,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,13,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,14,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,15,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,16,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,17,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,18,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,19,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,20,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,21,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,22,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,23,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,24,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,25,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,26,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,27,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,28,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,29,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,30,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,31,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,32,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,33,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,34,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,35,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,36,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,37,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,38,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,39,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,40,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,41,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,42,1150,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,43,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,44,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,45,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,46,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,47,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,48,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,49,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,50,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,51,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,52,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,53,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,54,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,55,1149,-112,112
posit32_es2,fp32,field_balanced_finite,field_bucket,56,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,0,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,1,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,2,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,3,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,4,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,5,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,6,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,7,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,8,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,9,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,10,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,11,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,12,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,13,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,14,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,15,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,16,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,17,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,18,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,19,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,20,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,21,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,22,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,23,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,24,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,25,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,26,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,27,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,32,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,33,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,34,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,35,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,36,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,37,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,38,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,39,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,40,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,41,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,42,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,43,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,44,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,45,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,46,1150,-112,112
posit32_es2,fp32,field_balanced_finite,regime,47,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,48,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,49,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,50,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,51,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,52,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,53,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,54,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,55,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,56,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,57,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,58,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,59,1149,-112,112
posit32_es2,fp32,field_balanced_finite,regime,60,1149,-112,112
posit32_es2,fp32,paired_log_uniform_finite,sign,0,32768,-112,112
posit32_es2,fp32,paired_log_uniform_finite,sign,1,32768,-112,112
posit32_es2,fp32,paired_log_uniform_finite,log_interval,all,65536,-112,112
posit32_es2,fp64,field_balanced_finite,sign,0,32768,-112,112
posit32_es2,fp64,field_balanced_finite,sign,1,32768,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,0,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,1,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,2,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,3,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,4,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,5,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,6,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,7,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,8,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,9,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,10,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,11,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,12,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,13,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,14,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,15,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,16,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,17,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,18,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,19,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,20,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,21,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,22,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,23,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,24,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,25,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,26,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,27,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,28,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,29,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,30,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,31,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,32,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,33,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,34,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,35,1150,-112,112
posit32_es2,fp64,field_balanced_finite,field_bucket,36,1150,-112,112
