format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
takum32,fp32,field_balanced_finite,sign,0,32768,-139.98,126.976
takum32,fp32,field_balanced_finite,sign,1,32768,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,0,3510,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,1,3511,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,2,3511,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,3,3511,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,4,3511,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,5,3511,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,6,3511,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,7,8192,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,8,4682,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,9,4681,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,10,4681,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,11,4681,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,12,4681,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,13,4681,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,14,4681,-139.98,126.976
takum32,fp32,field_balanced_finite,field_bucket,15,0,-139.98,126.976
takum32,fp32,field_balanced_finite,direction,0,32768,-139.98,126.976
takum32,fp32,field_balanced_finite,direction,1,32768,-139.98,126.976
takum32,fp32,field_balanced_finite,regime,0,8192,-139.98,126.976
takum32,fp32,field_balanced_finite,regime,1,8192,-139.98,126.976
takum32,fp32,field_balanced_finite,regime,2,8192,-139.98,126.976
takum32,fp32,field_balanced_finite,regime,3,8192,-139.98,126.976
takum32,fp32,field_balanced_finite,regime,4,8192,-139.98,126.976
takum32,fp32,field_balanced_finite,regime,5,8192,-139.98,126.976
takum32,fp32,field_balanced_finite,regime,6,8192,-139.98,126.976
takum32,fp32,field_balanced_finite,regime,7,8192,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-140,253,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-139,211,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-138,247,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-137,299,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-136,281,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-135,253,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-134,302,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-133,319,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-132,233,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-131,254,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-130,285,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-129,257,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-128,316,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-127,65,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-126,63,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-125,40,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-124,59,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-123,57,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-122,59,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-121,68,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-120,42,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-119,74,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-118,48,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-117,48,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-116,61,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-115,51,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-114,63,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-113,41,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-112,52,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-111,57,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-110,67,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-109,45,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-108,56,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-107,70,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-106,69,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-105,53,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-104,56,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-103,49,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-102,48,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-101,45,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-100,42,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-99,54,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-98,38,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-97,60,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-96,51,-139.98,126.976
takum32,fp32,field_balanced_finite,characteristic,-95,54,-139.98,126.976
