format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,0,0,1.45785606,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,1,0,1.44863999,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,2,0,1.44780803,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,3,0,1.44544005,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,4,0,1.45097601,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,5,0,1.44755197,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,6,0,1.44803202,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,7,0,1.45350397,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,8,0,1.44793606,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,9,0,1.44959998,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,10,0,1.44854403,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,11,0,1.44764805,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,12,0,1.45791996,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,13,0,1.44953597,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,14,0,1.450912,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,15,0,1.45356798,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,16,0,1.45318401,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,17,0,1.45110404,ok
takum32,takum,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,1073741824,0,1024,18,0,1.45184004,ok
