format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,0,0,2.25315189,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,0,1,0.515232027,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,1,0,0.515999973,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,1,1,2.24851203,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,2,0,2.246176,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,2,1,0.517503977,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,3,0,0.517087996,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,3,1,2.2447679,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,4,0,2.24128008,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,4,1,0.516864002,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,5,0,0.515392005,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,5,1,2.24195194,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,6,0,2.23795199,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,6,1,0.514944017,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,7,0,0.516864002,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,7,1,2.23900795,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,8,0,2.24521589,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,8,1,0.518815994,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,9,0,0.517440021,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,9,1,2.23871994,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,10,0,2.2443521,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,10,1,0.516095996,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,11,0,0.514176011,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,11,1,2.23503995,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,12,0,2.24665594,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,12,1,0.515680015,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,13,0,0.516480029,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,13,1,2.250144,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,536870912,0,1024,14,0,2.24144006,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,14,1,0.516608,ok
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,536870912,262144,1024,15,0,0.51433599,ok
