format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
takum_log32,fp32,field_balanced_finite,sign,0,32768,-119.999,119.999
takum_log32,fp32,field_balanced_finite,sign,1,32768,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,0,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,1,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,2,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,3,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,4,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,5,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,6,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,7,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,8,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,9,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,10,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,11,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,12,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,13,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,14,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,field_bucket,15,4096,-119.999,119.999
takum_log32,fp32,field_balanced_finite,direction,0,32768,-119.999,119.999
takum_log32,fp32,field_balanced_finite,direction,1,32768,-119.999,119.999
takum_log32,fp32,field_balanced_finite,regime,0,8192,-119.999,119.999
takum_log32,fp32,field_balanced_finite,regime,1,8192,-119.999,119.999
takum_log32,fp32,field_balanced_finite,regime,2,8192,-119.999,119.999
takum_log32,fp32,field_balanced_finite,regime,3,8192,-119.999,119.999
takum_log32,fp32,field_balanced_finite,regime,4,8192,-119.999,119.999
takum_log32,fp32,field_balanced_finite,regime,5,8192,-119.999,119.999
takum_log32,fp32,field_balanced_finite,regime,6,8192,-119.999,119.999
takum_log32,fp32,field_balanced_finite,regime,7,8192,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-167,33,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-166,120,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-165,108,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-164,101,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-163,126,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-162,84,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-161,79,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-160,104,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-159,95,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-158,86,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-157,91,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-156,106,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-155,99,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-154,141,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-153,120,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-152,69,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-151,132,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-150,132,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-149,102,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-148,105,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-147,127,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-146,104,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-145,151,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-144,155,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-143,82,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-142,121,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-141,98,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-140,91,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-139,83,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-138,80,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-137,104,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-136,95,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-135,81,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-134,93,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-133,104,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-132,89,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-131,95,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-130,127,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-129,75,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-128,108,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-127,72,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-126,67,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-125,56,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-124,68,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-123,61,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-122,62,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-121,75,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-120,51,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-119,82,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-118,59,-119.999,119.999
takum_log32,fp32,field_balanced_finite,characteristic,-117,53,-119.999,119.999
