format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,0,0,1.35465598,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,0,1,0.498272002,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,0,2,0.489760011,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,1,0,0.500415981,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,1,1,0.488703996,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,1,2,1.34751999,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,2,0,0.493247986,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,2,1,1.34787202,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,2,2,0.499040008,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,3,0,1.34767997,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,3,1,0.500735998,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,3,2,0.487967998,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,4,0,0.497184008,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,4,1,0.488959998,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,4,2,1.34720004,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,5,0,0.488063991,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,5,1,1.35215998,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,5,2,0.498656005,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,6,0,1.35139203,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,6,1,0.497887999,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,6,2,0.489311993,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,7,0,0.499327987,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,7,1,0.488992006,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,7,2,1.34630406,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,8,0,0.489951998,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,8,1,1.35135996,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,8,2,0.499264002,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,9,0,1.34419203,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,9,1,0.498751998,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,9,2,0.487136006,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,10,0,0.500512004,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,10,1,0.486752003,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,10,2,1.35123205,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,11,0,0.4912,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,11,1,1.35692799,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,11,2,0.502336025,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,12,0,1.34819198,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,12,1,0.498816013,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,12,2,0.48963201,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,13,0,0.499008,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,13,1,0.489791989,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,13,2,1.34828806,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,14,0,0.489407986,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,14,1,1.34796798,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,14,2,0.503359973,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,15,0,1.34959996,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,15,1,0.498975992,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,15,2,0.488671988,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,16,0,0.502719998,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,16,1,0.487904012,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,16,2,1.35184002,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,17,0,0.487616003,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,17,1,1.34774399,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,17,2,0.497792006,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,18,0,1.34896004,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,18,1,0.499424011,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,18,2,0.490592003,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,134217728,1,268435456,1024,1024,19,0,0.499168009,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,19,1,0.489055991,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,134217728,1,268435456,0,1024,19,2,1.35215998,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,134217728,1,268435456,1024,2048,20,0,0.490240008,ok
