Building PWLNormal32 and PWQNormal32 coefficient tables
Normal32 DOT benchmark complete on NVIDIA H200 NVL at N=1048576
  pwl_normal32_16_16     pwl_global_x1        0.025248 ms
  pwq_normal32_8_24      pwq_shared_x1        0.014880 ms
  qn32                   qn_direct_x1         0.012736 ms
  fp32_e8m23             native_f64_x1        0.010512 ms
  e11m20                 direct_shift_x1      0.011472 ms
  e9m22                  prefix_global_x1     0.013968 ms
  e9m22                  word_branchy_x1      0.013664 ms
  e8m29                  prefix_global_x1     0.017120 ms
  e8m30                  prefix_global_x1     0.015600 ms
  e11m36                 direct_shift_x1      0.011936 ms
  raw_fp64               raw_pointer_x1       0.011840 ms
Raw samples: /storage/home/timofeirusanov/accessor_universal_test_normal32/results/026_normal32_dot_performance/run_20260826T182814Z/smoke/timing_samples.csv
