format,bits,strategy_id,N,samples,median_ms,p05_ms,p95_ms,physical_gbps,logical_gbps,speedup_vs_raw_fp64
pwl_normal32_16_16,32,pwl_global_x1,1048576,2,0.025247999466955662,0.025103999208658932,0.02539199972525239,332.2484227306377,332.2484227306377,0.4689480381527987
pwq_normal32_8_24,32,pwq_shared_x1,1048576,2,0.014879999682307243,0.014447999745607374,0.015311999619007111,563.750549670663,563.750549670663,0.795698929442174
qn32,32,qn_direct_x1,1048576,2,0.012735999654978514,0.012678399635478853,0.012793599674478174,658.6532841747437,658.6532841747437,0.9296482520461986
fp32_e8m23,32,native_f64_x1,1048576,2,0.010511999949812889,0.009172799810767173,0.011851200088858604,798.0030479499112,798.0030479499112,1.1263317992617108
e11m20,32,direct_shift_x1,1048576,2,0.011471999809145927,0.011457599699497223,0.011486399918794632,731.2245588874812,731.2245588874812,1.0320781044532839
e9m22,32,prefix_global_x1,1048576,2,0.013968000188469887,0.01254240022972226,0.015393600147217513,600.5589838783445,600.5589838783445,0.8476517509704277
e9m22,32,word_branchy_x1,1048576,2,0.013664000201970339,0.011129599763080478,0.0161984006408602,613.9203656327793,613.9203656327793,0.8665105124635789
e8m29,38,prefix_global_x1,1048576,2,0.01711999997496605,0.016256000101566314,0.017983999848365784,581.8616830938257,581.8616830938257,0.6915887753869722
e8m30,39,prefix_global_x1,1048576,2,0.015599999576807022,0.014116800017654895,0.017083199135959147,655.3600177784459,655.3600177784459,0.7589743678528453
e11m36,48,direct_shift_x1,1048576,2,0.01193600008264184,0.011244800267741084,0.012627199897542596,1054.198384121909,1054.198384121909,0.9919570823839314
raw_fp64,64,raw_pointer_x1,1048576,2,0.011839999817311764,0.010975999943912029,0.012703999690711499,1416.9946164584667,1416.9946164584667,1.0
