q_eighths,q,x,format,label,samples,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms
0,0.0,0.0,lns16_r11,"lns<16,11>",50,0.2629600018262863,0.26234398782253265,0.26371199637651443,0.26076799631118774,0.26476800441741943
0,0.0,0.0,posit16_es1,"posit<16,1>",50,0.2629440128803253,0.2624080032110214,0.26364800333976746,0.26102399826049805,0.26604801416397095
0,0.0,0.0,t16,T16,50,0.2627519965171814,0.2621439918875694,0.26338399946689606,0.26096001267433167,0.2651839852333069
1,0.125,0.12916203431251702,lns16_r11,"lns<16,11>",50,0.3410879969596863,0.34060800075531006,0.3418800085783005,0.33900800347328186,0.34351998567581177
1,0.125,0.12916203431251702,posit16_es1,"posit<16,1>",50,0.3407039940357208,0.3401600047945976,0.3413359969854355,0.33878400921821594,0.34358400106430054
1,0.125,0.12916203431251702,t16,T16,50,0.340735986828804,0.34009598940610886,0.3410559892654419,0.33907198905944824,0.34297600388526917
2,0.25,0.25834368798453466,lns16_r11,"lns<16,11>",50,0.346671998500824,0.3461439907550812,0.34725599735975266,0.34384000301361084,0.3489919900894165
2,0.25,0.25834368798453466,posit16_es1,"posit<16,1>",50,0.34595200419425964,0.34537601470947266,0.3466159999370575,0.34409600496292114,0.34780800342559814
2,0.25,0.25834368798453466,t16,T16,50,0.34622400999069214,0.34546399861574173,0.3468719944357872,0.3442240059375763,0.3479680120944977
3,0.375,0.3874508250790302,lns16_r11,"lns<16,11>",50,0.35281600058078766,0.3522000089287758,0.3534960001707077,0.3509120047092438,0.35715198516845703
3,0.375,0.3874508250790302,posit16_es1,"posit<16,1>",50,0.3527199923992157,0.35228800773620605,0.35336800664663315,0.35100799798965454,0.35574400424957275
3,0.375,0.3874508250790302,t16,T16,50,0.3530399948358536,0.3522080108523369,0.35367999225854874,0.35017600655555725,0.3561600148677826
4,0.5,0.5165292343761109,lns16_r11,"lns<16,11>",50,0.3616800010204315,0.36136800795793533,0.36239200085401535,0.3590399920940399,0.3638080060482025
4,0.5,0.5165292343761109,posit16_es1,"posit<16,1>",50,0.3612480014562607,0.3603920042514801,0.36180000752210617,0.3587520122528076,0.3635199964046478
4,0.5,0.5165292343761109,t16,T16,50,0.3614720106124878,0.36103199422359467,0.36232800781726837,0.35977599024772644,0.3632960021495819
5,0.625,0.6456058558918073,lns16_r11,"lns<16,11>",50,0.37916800379753113,0.3784879967570305,0.3798399940133095,0.3768320083618164,0.3823679983615875
5,0.625,0.6456058558918073,posit16_es1,"posit<16,1>",50,0.3774240016937256,0.37699198722839355,0.37833601236343384,0.37625598907470703,0.3808000087738037
5,0.625,0.6456058558918073,t16,T16,50,0.37750400602817535,0.37703199684619904,0.377920001745224,0.3752959966659546,0.3797439932823181
6,0.75,0.7745217234960571,lns16_r11,"lns<16,11>",50,0.4188639968633652,0.418287992477417,0.41941599547863007,0.41702398657798767,0.4211840033531189
6,0.75,0.7745217234960571,posit16_es1,"posit<16,1>",50,0.4170079976320267,0.4163920059800148,0.4174960106611252,0.41488000750541687,0.41923201084136963
6,0.75,0.7745217234960571,t16,T16,50,0.4156000018119812,0.4152800068259239,0.4160960018634796,0.41283199191093445,0.4179520010948181
7,0.875,0.9029267248638201,lns16_r11,"lns<16,11>",50,0.4663520008325577,0.46586398780345917,0.46695198863744736,0.46486398577690125,0.4687039852142334
7,0.875,0.9029267248638201,posit16_es1,"posit<16,1>",50,0.46451200544834137,0.4638720080256462,0.46539999544620514,0.46239998936653137,0.4679679870605469
7,0.875,0.9029267248638201,t16,T16,50,0.4628639966249466,0.4623359963297844,0.4634400084614754,0.46054399013519287,0.46643200516700745
8,1.0,1.0000027685502844,lns16_r11,"lns<16,11>",50,0.5144320130348206,0.5137759745121002,0.5152559876441956,0.5121600031852722,0.5199679732322693
8,1.0,1.0000027685502844,posit16_es1,"posit<16,1>",50,0.5122400224208832,0.5117759704589844,0.5128159821033478,0.5107839703559875,0.5144640207290649
8,1.0,1.0000027685502844,t16,T16,50,0.5119520127773285,0.5112720131874084,0.5127040147781372,0.510591983795166,0.5140159726142883
