graph_id,variant,target_x,q,component,component_bits,table_location,entry_bytes,N,left_unique_indices,right_unique_indices,mean_unique_indices,actual_x,left_unique_sectors,right_unique_sectors,mean_unique_sectors,left_shared_wavefronts,right_shared_wavefronts,mean_shared_wavefronts
g1_u16_global_fp64,u16_global_fp64,0,0,0,16,global,8,1048576,1,1,1,0,1,1,1,nan,nan,nan
g1_u16_global_fp64,u16_global_fp64,0.5,0.48431962498943903,0,16,global,8,1048576,16.491363525390625,16.509918212890625,16.500640869140625,0.50014275973437872,16.4852294921875,16.50469970703125,16.494964599609375,nan,nan,nan
g1_u16_global_fp64,u16_global_fp64,1,1,0,16,global,8,1048576,31.992095947265625,31.9930419921875,31.992568969726562,1.0000043937948802,31.968597412109375,31.972137451171875,31.970367431640625,nan,nan,nan
g2_u8_shared_fp32,u8_shared_fp32,0,0,0,8,shared,4,1048576,1,1,1,0,nan,nan,nan,1,1,1
g2_u8_shared_fp32,u8_shared_fp32,0.5,0.47017905099299639,0,8,shared,4,1048576,15.5562744140625,15.590484619140625,15.573379516601562,0.50018315343101627,nan,nan,nan,2.241455078125,2.242889404296875,2.2421722412109375
g2_u8_shared_fp32,u8_shared_fp32,1,1,0,8,shared,4,1048576,30.13311767578125,30.15032958984375,30.1417236328125,1.0001934833626307,nan,nan,nan,3.146514892578125,3.14801025390625,3.1472625732421875
g3_u8_shared_fp64,u8_shared_fp64,0,0,0,8,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g3_u8_shared_fp64,u8_shared_fp64,0.5,0.47017905099299639,0,8,shared,8,1048576,15.5562744140625,15.590484619140625,15.573379516601562,0.50018315343101627,nan,nan,nan,2.917205810546875,2.92083740234375,2.9190216064453125
g3_u8_shared_fp64,u8_shared_fp64,1,1,0,8,shared,8,1048576,30.13311767578125,30.15032958984375,30.1417236328125,1.0001934833626307,nan,nan,nan,4.395660400390625,4.39105224609375,4.3933563232421875
g4_u16_split_fp32,u16_2x8_shared_fp32,0,0,0,8,shared,4,1048576,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_2x8_shared_fp32,0,0,1,8,shared,4,1048576,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_2x8_shared_fp32,0.5,0.47017905099299639,0,8,shared,4,1048576,15.5562744140625,15.590484619140625,15.573379516601562,0.50018315343101627,nan,nan,nan,2.241455078125,2.242889404296875,2.2421722412109375
g4_u16_split_fp32,u16_2x8_shared_fp32,0.5,0.47017905099299639,1,8,shared,4,1048576,15.543609619140625,15.562164306640625,15.552886962890625,0.49947981415920811,nan,nan,nan,2.2445068359375,2.24322509765625,2.243865966796875
g4_u16_split_fp32,u16_2x8_shared_fp32,1,1,0,8,shared,4,1048576,30.13311767578125,30.15032958984375,30.1417236328125,1.0001934833626307,nan,nan,nan,3.146514892578125,3.14801025390625,3.1472625732421875
g4_u16_split_fp32,u16_2x8_shared_fp32,1,1,1,8,shared,4,1048576,30.13409423828125,30.133392333984375,30.133743286132812,0.99991958430145744,nan,nan,nan,3.155426025390625,3.15228271484375,3.1538543701171875
g4_u16_split_fp32,u16_4x4_shared_fp32,0,0,0,4,shared,4,1048576,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0,0,1,4,shared,4,1048576,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0,0,2,4,shared,4,1048576,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0,0,3,4,shared,4,1048576,1,1,1,0,nan,nan,nan,1,1,1
