segment,lower_boundary,upper_boundary,payload_bits,levels,A,B
0,0,1.1682505165240533,30,1073741824,5.4400903942252198e-10,1.088018078845044e-09
1,1.1682505165240533,1.992463573266622,29,536870912,1.1682505172916615,1.5352164520743652e-09
2,1.992463573266622,2.6571747277538327,28,268435456,1.992463574504743,2.4762420150906244e-09
3,2.6571747277538327,3.2263462352519543,27,134217728,2.6571747298741619,4.2406581900873901e-09
4,3.2263462352519543,3.7306204032513133,26,67108864,3.2263462390090898,7.5142706632518616e-09
5,3.7306204032513133,4.1873350464178589,25,33554432,3.7306204100568916,1.3611157034830619e-08
6,4.1873350464178589,4.6073720072065694,24,16777216,4.1873350589359362,2.5036153840345767e-08
7,4.6073720072065694,4.9980662804177101,23,8388608,4.6073720304937629,4.657438674105891e-08
8,4.9980662804177101,5.364627408152316,22,4194304,4.9980663241152019,8.7394983228351097e-08
9,5.364627408152316,5.7109063971164922,21,2097152,5.3646274907116602,1.6511868904312906e-07
10,5.7109063971164922,6.0398414796081461,20,1048576,5.7109065539649624,3.1369693993726151e-07
11,6.0398414796081461,6.3537327007229489,19,524288,6.0398417789581416,5.9869999144516531e-07
12,6.3537327007229489,6.6544191464472338,18,262144,6.3537332742368298,1.1470277623149293e-06
13,6.6544191464472338,6.9433978090896797,17,131072,6.6544202488133477,2.2047322284122161e-06
14,6.9433978090896797,7.2219059137212351,16,65536,6.94339993393789,4.2496964207695831e-06
15,7.2219059137212351,7.4909795173327662,15,32768,7.221910019458595,8.2114747195901824e-06
16,7.4909795173327662,7.7514962120582638,14,16384,7.4909874676713502,1.5900677168304293e-05
17,7.7514962120582638,8.0042068881091026,13,8192,7.7515116362938628,3.0848471197612165e-05
18,8.0042068881091026,8.2497597878549662,12,4096,8.0042368628283107,5.9949438414517477e-05
19,8.2497597878549662,8.4887190142688098,11,2048,8.2498181275098528,0.00011667930977238457
20,8.4887190142688098,8.7215789758471409,10,1024,8.4888327154219247,0.00022740230622883897
21,8.7215789758471409,8.9487758046438763,9,512,8.7218008477502629,0.00044374380624362386
22,8.9487758046438763,9.1706964860106375,8,256,8.9492092434746713,0.00086687766158891066
23,9.1706964860106375,9.3876862351244874,7,128,9.1715441022181139,0.0016952324149519526
24,9.3876862351244874,9.600054513844043,6,64,9.3893453623019845,0.0033182543549930554
25,9.600054513844043,9.8080799813389774,5,32,9.6033049117736518,0.0065007958592167014
26,9.8080799813389774,10.012014600066632,4,16,9.8144529381742167,0.012745913670478393
27,10.012014600066632,10.212087066340477,3,8,10.024519129208747,0.025009058284230612
28,10.212087066340477,10.408505696144438,2,4,10.236639395065971,0.049104657450990352
29,10.408505696144438,10.601460868049983,1,2,10.456744489120824,0.096477585952772671
30,10.601460868049983,10.791127103368105,0,1,10.696293985709044,0.18966623531812132
31,10.791127103368105,10.977664847112319,0,1,10.977664847112319,0
