format,label,group,decoder,storage_bits,arithmetic_type,N,median_ms,q1_ms,q3_ms,time_per_element_ns,effective_input_gb_s,ratio_to_fp32_to_fp64
raw_fp32,Raw FP32,baseline,native_fp32,32,fp32,1048576,0.0118239997,0.011656000274999998,0.0120000001,0.011276244831085205,709.4560396512865,1.2964912534606814
raw_fp32,Raw FP32,baseline,native_fp32,32,fp32,4194304,0.0237440001,0.0235520005,0.02411199965,0.005661010766029357,1413.1751962046194,1.4839999320500032
raw_fp32,Raw FP32,baseline,native_fp32,32,fp32,16777216,0.0693119988,0.06892000140000001,0.06975200215,0.004131317067146301,1936.428473045276,0.9890411182836064
raw_fp32,Raw FP32,baseline,native_fp32,32,fp32,67108864,0.251663998,0.250912011,0.252080001,0.003750085800886154,2133.284523279329,0.9901171114151376
raw_fp32,Raw FP32,baseline,native_fp32,32,fp32,268435456,1.0075040450000001,1.006087955,1.00921595,0.0037532450444996363,2131.4888596799624,0.9890367604983425
fp32_to_fp64,FP32 to FP64,baseline,native_convert,32,fp64,1048576,0.00911999959,0.00905600004,0.009271999820000001,0.008697509374618531,919.8035501227472,1.0
fp32_to_fp64,FP32 to FP64,baseline,native_convert,32,fp64,4194304,0.0160000008,0.0156159997,0.016248000749999998,0.0038146974563598632,2097.1518951424055,1.0
fp32_to_fp64,FP32 to FP64,baseline,native_convert,32,fp64,16777216,0.0700799972,0.069616001125,0.07048800025,0.0041770933389663695,1915.207382456916,1.0
fp32_to_fp64,FP32 to FP64,baseline,native_convert,32,fp64,67108864,0.254175991,0.25347199324999997,0.254687995,0.003787517413496971,2112.2015100159483,1.0
fp32_to_fp64,FP32 to FP64,baseline,native_convert,32,fp64,268435456,1.01867199,1.0176480424999998,1.020336005,0.0037948488816618923,2108.1208368161765,1.0
raw_fp64,Raw FP64,baseline,native_fp64,64,fp64,1048576,0.0127999997,0.012679999675000001,0.01296,0.012207030963897705,1310.7200307200008,1.4035088021314264
raw_fp64,Raw FP64,baseline,native_fp64,64,fp64,4194304,0.0277440008,0.0274960003,0.028239999450000004,0.006614685249328614,2418.860368544972,1.7339999633000018
raw_fp64,Raw FP64,baseline,native_fp64,64,fp64,16777216,0.0846559964,0.0842560008,0.084863998,0.005045890593528748,3170.89712973953,1.207990864474521
raw_fp64,Raw FP64,baseline,native_fp64,64,fp64,67108864,0.309808001,0.30923199675,0.310168013,0.004616498962044716,3465.8298705461775,1.2188720098272383
raw_fp64,Raw FP64,baseline,native_fp64,64,fp64,268435456,1.20867205,1.2076640425,1.2096720300000001,0.004502654261887074,3553.4595972497254,1.1865174088079127
int32,Int32,new,int_to_fp64,32,fp64,1048576,0.0118720001,0.011752000075,0.0120320003,0.011322021579742433,706.5875951264521,1.3017544554516804
int32,Int32,new,int_to_fp64,32,fp64,4194304,0.0238719992,0.02352800035,0.024216000025,0.005691528129577637,1405.5979023323694,1.4919998754000061
int32,Int32,new,int_to_fp64,32,fp64,16777216,0.0697920024,0.06938399935,0.070071997125,0.00415992751121521,1923.110433639027,0.9958904849956245
int32,Int32,new,int_to_fp64,32,fp64,67108864,0.25376001,0.2532880085,0.2545439975,0.003781318813562393,2115.663977157,0.998363413482275
int32,Int32,new,int_to_fp64,32,fp64,268435456,1.017120005,1.0159600100000001,1.01866397,0.0037890672869980335,2111.337538779409,0.9984764624773868
quadratic32,Quadratic32,new,int_to_fp64_abs_mul,32,fp64,1048576,0.0118399998,0.0117119998,0.0120000001,0.011291503715515138,708.4973092651571,1.298245650469377
quadratic32,Quadratic32,new,int_to_fp64_abs_mul,32,fp64,4194304,0.0240640007,0.023879999275,0.0245040003,0.0057373048543930055,1394.3829381620653,1.5039999685500016
quadratic32,Quadratic32,new,int_to_fp64_abs_mul,32,fp64,16777216,0.0706720017,0.0701759979,0.070896003375,0.004212379556894302,1899.1640928715906,1.0084475531343202
quadratic32,Quadratic32,new,int_to_fp64_abs_mul,32,fp64,67108864,0.256191999,0.2553840055,0.2568080055,0.0038175582736730577,2095.580322943653,1.0079315437782634
quadratic32,Quadratic32,new,int_to_fp64_abs_mul,32,fp64,268435456,1.0251039849999999,1.024367955,1.026288005,0.003818809930235147,2094.893473660626,1.0063140982211554
blended_quadratic32,BlendedQuadratic32,new,int_to_fp64_abs_fma_mul,32,fp64,1048576,0.0121280001,0.0119040003,0.0123360001,0.011566162204742431,691.6728175158904,1.3298246321522038
blended_quadratic32,BlendedQuadratic32,new,int_to_fp64_abs_fma_mul,32,fp64,4194304,0.0243520001,0.0241279993,0.0246399995,0.005805969262123108,1377.8922413851337,1.5219999301500033
blended_quadratic32,BlendedQuadratic32,new,int_to_fp64_abs_fma_mul,32,fp64,16777216,0.07172800230000001,0.0712159984,0.07207999747499999,0.004275322097539902,1871.2040443931335,1.023516055448701
blended_quadratic32,BlendedQuadratic32,new,int_to_fp64_abs_fma_mul,32,fp64,67108864,0.2599040125,0.25930400200000003,0.26079200199999997,0.0038728715851902963,2065.6507255731576,1.0225356512921002
blended_quadratic32,BlendedQuadratic32,new,int_to_fp64_abs_fma_mul,32,fp64,268435456,1.039824005,1.038663985,1.041328045,0.003873646277934313,2065.2376148981098,1.0207643041210939
blended_cubic32,BlendedCubic32,new,int_to_fp64_square_fma_mul,32,fp64,1048576,0.0120000001,0.01181599965,0.012183999875,0.011444091892242431,699.0506608412445,1.3157895438019422
blended_cubic32,BlendedCubic32,new,int_to_fp64_square_fma_mul,32,fp64,4194304,0.02420799995,0.0240959991,0.02448000015,0.005771636950969696,1386.0885686262568,1.5129999212250038
blended_cubic32,BlendedCubic32,new,int_to_fp64_square_fma_mul,32,fp64,16777216,0.07206399734999999,0.071560000975,0.0723519996,0.004295348963141441,1862.4796422009751,1.0283105055546435
