symbol,kernel,family,k,chain_a,chain_b,target_opcode_count,loop_instruction_count,opcode_histogram,registers,spill_loads,spill_stores,shared_bytes,status,reason
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE3ELi64EEEvPKjS4_iiPdjff,gemv,rot32,64,64,64,128,143,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'SHF.L.W.U32.HI': 128, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE3ELi48EEEvPKjS4_iiPdjff,gemv,rot32,48,48,48,96,111,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'SHF.L.W.U32.HI': 96, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE3ELi32EEEvPKjS4_iiPdjff,gemv,rot32,32,32,32,64,79,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'SHF.L.W.U32.HI': 64, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE3ELi24EEEvPKjS4_iiPdjff,gemv,rot32,24,24,24,48,63,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'SHF.L.W.U32.HI': 48, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE3ELi16EEEvPKjS4_iiPdjff,gemv,rot32,16,16,16,32,47,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'SHF.L.W.U32.HI': 32, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE3ELi12EEEvPKjS4_iiPdjff,gemv,rot32,12,12,12,24,39,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'SHF.L.W.U32.HI': 24, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE3ELi8EEEvPKjS4_iiPdjff,gemv,rot32,8,8,8,16,31,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'SHF.L.W.U32.HI': 16, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE3ELi4EEEvPKjS4_iiPdjff,gemv,rot32,4,4,4,8,23,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'SHF.L.W.U32.HI': 8, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE3ELi2EEEvPKjS4_iiPdjff,gemv,rot32,2,2,2,4,20,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LEA': 1, 'LDG.E': 2, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'SHF.L.W.U32.HI': 4, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE3ELi1EEEvPKjS4_iiPdjff,gemv,rot32,1,1,1,2,18,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'SHF.L.W.U32.HI': 2, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
