mode,stage,kernel,family,k,observed_instructions,n,rows,cols,storage,arithmetic,left_seed,right_seed,round,order,ms,result,valid,job_id,node
smoke,initial,gemv,add32f,2,2,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,0,0.00611199997,3.0412177808393119e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,1,1,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,1,0.0105919996,4.8322318906570347e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,1,1,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,2,0.00537599996,3.0798665737164657e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,24,24,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,3,0.0110400002,4.8554804241905051e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,12,12,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,4,0.0109120002,4.8345240884565564e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,16,16,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,5,0.00979200006,4.8477169702127808e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,4,4,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,6,0.00950399972,4.8331568604267594e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,16,16,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,7,0.0115839997,4.8327635460532323e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,12,12,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,8,0.00543999998,3.048555265944956e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,add32f,8,8,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,9,0.00543999998,3.0412351190420189e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,24,24,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,10,0.0054080002,3.0559162115136502e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,add32f,32,32,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,11,0.00547200022,3.0413044723475034e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,4,4,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,12,0.00947200041,4.8361135097720707e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,24,24,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,13,0.00576000009,3.0495643812927289e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,2,2,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,14,0.00924799964,4.8341607816859934e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,32,32,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,15,0.00537599996,3.0608333704873348e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,32,32,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,16,0.005504,3.0607404495735599e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,32,32,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,17,0.0119040003,4.8632563111103557e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,2,2,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,18,0.00937599968,4.8375033252268302e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,raw_fp32,0,0,1048576,0,0,float32,fp32,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,19,0.010272,4.8322272201221271e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,4,4,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,20,0.00947200041,4.8322457215302542e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,8,8,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,21,0.00940799993,4.8322641627246208e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,add32f,16,16,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,22,0.00537599996,3.041258236722554e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,u32_base,0,0,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,23,0.00911999959,4.8322272803707558e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,8,8,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,24,0.00537599996,3.0001195667946027e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,raw_fp64,0,0,1048576,0,0,float64,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,25,0.0101119997,4.8322272801005969e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,8,8,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,26,0.00960000046,4.8399659283002271e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,12,12,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,27,0.00979200006,4.8322826039547849e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,4,4,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,28,0.00534400018,3.0436462264578077e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,24,24,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,29,0.0108160004,4.8555914760494206e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,8,8,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,30,0.00534400018,3.0461055508528422e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
