mode,stage,kernel,family,k,observed_instructions,n,rows,cols,storage,arithmetic,left_seed,right_seed,round,order,ms,result,valid,job_id,node
full,initial,gemv,add32f,2,2,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,0,0.129951999,3.0953524737228929e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,add32f,1,1,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,1,0.272159994,3.0947569742293295e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,rot32,1,1,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,2,0.130528003,3.0896900490555979e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,mul32f,24,24,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,3,0.310975999,3.1096462776557731e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,rot32,12,12,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,4,0.309024006,3.0949154228298137e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,mul32f,16,16,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,5,0.29491201,3.1046742473747996e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,rot32,4,4,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,6,0.277408004,3.0947088930771505e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,rot32,16,16,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,7,0.327455997,3.0946720694117992e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,fma32f,12,12,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,8,0.154016003,3.1028206699593017e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,add32f,8,8,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,9,0.141632006,3.0953701840303414e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,fma32f,24,24,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,10,0.199359998,3.1103127760242032e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,add32f,32,32,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,11,0.228704005,3.0954410257552857e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,fma32f,4,4,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,12,0.278656006,3.0972429169760245e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,rot32,24,24,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,13,0.295935988,3.0970817092180514e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,mul32f,2,2,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,14,0.275168002,3.0959923154506319e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,fma32f,32,32,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,15,0.236064002,3.115317536200015e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,mul32f,32,32,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,16,0.229727998,3.1152226217402299e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,mul32f,32,32,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,17,0.329472005,3.114626270591475e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,rot32,2,2,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,18,0.274495989,3.0947084046832265e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,raw_fp32,0,0,67108864,0,0,float32,fp32,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,19,0.263936013,3.0947541751442674e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,add32f,4,4,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,20,0.276192009,3.0947658286319437e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,add32f,8,8,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,21,0.281888008,3.0947776345218447e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,add32f,16,16,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,22,0.165375993,3.0953937978486463e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,u32_base,0,0,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,23,0.271488011,3.0947540227645881e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,rot32,8,8,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,24,0.158943996,3.1169875819646108e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,raw_fp64,0,0,67108864,0,0,float64,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,25,0.304448009,3.0947540227476065e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,mul32f,8,8,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,26,0.281024009,3.0997101663116908e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,add32f,12,12,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,27,0.287328005,3.0947894404343792e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,mul32f,4,4,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,28,0.132735997,3.0978241223949369e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,fma32f,24,24,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,29,0.313344002,3.1097173720911305e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,fma32f,8,8,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,30,0.142527997,3.1003273057730459e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,rot32,2,2,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,31,0.130943999,3.098833323643886e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,add32f,2,2,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,32,0.277215987,3.0947599256954853e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,fma32f,1,1,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,33,0.129247993,3.0959687244421644e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,rot32,24,24,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,34,0.385439992,3.0946069675339479e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,fma32f,2,2,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,35,0.132192001,3.0965910036864867e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,fma32f,16,16,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,36,0.167487994,3.1053160353097935e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,add32f,24,24,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,37,0.194271997,3.0954174117568561e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,fma32f,12,12,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,38,0.289759994,3.1022266969818876e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,mul32f,16,16,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,39,0.164800003,3.1052686914473823e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
