symbol,kind,B,scale_type,dmul,dfma,shuffle,opcode_histogram,registers,shared_bytes,spill_loads,spill_stores,status,reason
_ZN3aut11block_scale15reduce64_kernelEPKdPd,reduce64,0,none,0,0,0,"{'LDC': 2, 'S2R': 1, 'ULDC.64': 1, 'BSSY': 1, 'CS2R': 2, 'ISETP.GT.AND': 1, 'BRA': 3, 'IMAD.MOV.U32': 1, 'LDC.64': 2, 'IMAD.WIDE': 1, 'LDG.E.64': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'DADD': 9, 'BSYNC': 1, 'S2UR': 1, 'UMOV': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 1, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'ISETP.NE.AND': 1, 'EXIT': 2, 'STG.E.64': 1, 'NOP': 10}",14,2048,0,0,pass,
_ZN3aut11block_scale15reduce32_kernelEPKfPf,reduce32,0,none,0,0,0,"{'LDC': 2, 'S2R': 1, 'ULDC.64': 1, 'BSSY': 1, 'IMAD.MOV.U32': 2, 'ISETP.GT.AND': 1, 'BRA': 3, 'MOV': 1, 'LDC.64': 2, 'IMAD.WIDE': 1, 'LDG.E': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'FADD': 9, 'BSYNC': 1, 'S2UR': 1, 'UMOV': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 1, 'STS': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS': 17, 'ISETP.NE.AND': 1, 'EXIT': 2, 'STG.E': 1, 'NOP': 10}",11,1024,0,0,pass,
_ZN3aut11block_scale12raw64_kernelEPKdS2_mPd,raw_fp64,0,none,0,1,0,"{'LDC': 2, 'S2R': 2, 'IMAD.MOV.U32': 3, 'ULDC': 1, 'ULDC.64': 4, 'BSSY': 1, 'CS2R': 2, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 2, 'ISETP.GE.U32.AND.EX': 2, 'BRA': 3, 'UMOV': 2, 'VIADD': 1, 'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E.64': 2, 'IMAD.X': 1, 'DFMA': 1, 'BSYNC': 1, 'S2UR': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 2, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'DADD': 8, 'ISETP.NE.AND': 1, 'EXIT': 2, 'LDC.64': 1, 'LEA.HI.X': 1, 'STG.E.64': 1, 'NOP': 13}",18,2048,0,0,pass,
_ZN3aut11block_scale16widened32_kernelEPKfS2_mPd,fp32_to_fp64,0,none,0,1,0,"{'LDC': 2, 'S2R': 2, 'IMAD.MOV.U32': 3, 'ULDC': 1, 'ULDC.64': 4, 'BSSY': 1, 'CS2R': 2, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 2, 'ISETP.GE.U32.AND.EX': 2, 'BRA': 3, 'UMOV': 2, 'VIADD': 1, 'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'F2F.F64.F32': 2, 'DFMA': 1, 'BSYNC': 1, 'S2UR': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 2, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'DADD': 8, 'ISETP.NE.AND': 1, 'EXIT': 2, 'LDC.64': 1, 'LEA.HI.X': 1, 'STG.E.64': 1, 'NOP': 11}",22,2048,0,0,pass,
_ZN3aut11block_scale12raw32_kernelEPKfS2_mPf,raw_fp32,0,none,0,0,0,"{'LDC': 2, 'S2R': 2, 'IMAD.MOV.U32': 5, 'ULDC': 1, 'ULDC.64': 4, 'BSSY': 1, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 2, 'ISETP.GE.U32.AND.EX': 2, 'BRA': 3, 'UMOV': 2, 'VIADD': 1, 'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'FFMA': 1, 'BSYNC': 1, 'S2UR': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 2, 'STS': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS': 17, 'FADD': 8, 'ISETP.NE.AND': 1, 'EXIT': 2, 'LDC.64': 1, 'LEA.HI.X': 1, 'STG.E': 1, 'NOP': 13}",16,1024,0,0,pass,
_ZN3aut11block_scale15deferred_kernelILi128EdEEvPKfS3_PKT0_S6_mPd,deferred,128,fp64,1,2,10,"{'LDC': 2, 'S2R': 4, 'ULDC.64': 5, 'UIADD3': 1, 'CS2R': 3, 'UIADD3.X': 1, 'USHF.R.U64': 1, 'USHF.R.U32.HI': 1, 'IMAD.WIDE.U32': 3, 'ISETP.GE.U32.AND': 4, 'ISETP.GE.U32.AND.EX': 3, 'BRA': 4, 'SHF.R.U32.HI': 1, 'IMAD.SHL.U32': 4, 'LOP3.LUT': 3, 'IADD3': 9, 'IMAD.MOV.U32': 3, 'IMAD.X': 7, 'SHF.L.U64.HI': 3, 'IADD3.X': 2, 'ISETP.GE.U32.OR.EX': 1, 'LDG.E': 2, 'VIADD': 1, 'ISETP.NE.AND': 2, 'F2F.F64.F32': 2, 'DFMA': 2, 'ISETP.NE.OR': 1, 'LDC.64': 3, 'LDG.E.64': 2, 'SHFL.DOWN': 10, 'DADD': 13, 'DMUL': 1, 'S2UR': 1, 'UMOV': 1, 'ULEA': 1, 'LEA': 1, 'ISETP.GT.U32.AND': 7, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'EXIT': 2, 'STG.E.64': 1, 'NOP': 15}",28,2048,0,0,pass,
_ZN3aut11block_scale15deferred_kernelILi32EdEEvPKfS3_PKT0_S6_mPd,deferred,32,fp64,1,2,10,"{'LDC': 2, 'S2R': 3, 'ULDC.64': 4, 'UIADD3': 1, 'CS2R': 3, 'UIADD3.X': 1, 'USHF.R.U64': 1, 'USHF.R.U32.HI': 1, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 4, 'ISETP.GE.U32.AND.EX': 3, 'BRA': 3, 'IMAD.MOV.U32': 3, 'LOP3.LUT': 2, 'LEA.HI': 1, 'IMAD.SHL.U32': 3, 'IMAD.X': 5, 'SHF.L.U64.HI': 3, 'ISETP.GE.U32.OR.EX': 1, 'LDC.64': 4, 'IADD3': 4, 'LDG.E': 2, 'ISETP.NE.OR': 1, 'LDG.E.64': 2, 'F2F.F64.F32': 2, 'DFMA': 2, 'SHFL.DOWN': 10, 'DADD': 13, 'DMUL': 1, 'S2UR': 2, 'UMOV': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 2, 'LEA': 1, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'ISETP.NE.AND': 1, 'EXIT': 2, 'ULEA.HI.X': 1, 'IMAD.U32': 2, 'STG.E.64': 1, 'NOP': 10}",26,2048,0,0,pass,
_ZN3aut11block_scale15deferred_kernelILi16EdEEvPKfS3_PKT0_S6_mPd,deferred,16,fp64,1,2,8,"{'LDC': 2, 'S2R': 2, 'ULDC.64': 3, 'UIADD3': 1, 'CS2R': 3, 'UIADD3.X': 1, 'USHF.R.U64': 1, 'USHF.R.U32.HI': 1, 'IMAD.WIDE.U32': 3, 'ISETP.GE.U32.AND': 4, 'ISETP.GE.U32.AND.EX': 3, 'BRA': 3, 'LOP3.LUT': 2, 'LEA.HI': 1, 'IMAD.SHL.U32': 3, 'IMAD.X': 5, 'SHF.L.U64.HI': 3, 'ISETP.GE.U32.OR.EX': 1, 'LDC.64': 5, 'IADD3': 4, 'LDG.E': 2, 'ISETP.NE.OR': 1, 'LDG.E.64': 2, 'F2F.F64.F32': 2, 'DFMA': 2, 'SHFL.DOWN': 8, 'DADD': 12, 'DMUL': 1, 'S2UR': 1, 'UMOV': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 1, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'ISETP.NE.AND': 1, 'EXIT': 2, 'STG.E.64': 1, 'NOP': 13}",26,2048,0,0,pass,
_ZN3aut11block_scale15deferred_kernelILi128EfEEvPKfS3_PKT0_S6_mPd,deferred,128,fp32,1,2,10,"{'LDC': 2, 'S2R': 4, 'ULDC.64': 5, 'UIADD3': 1, 'CS2R': 3, 'UIADD3.X': 1, 'USHF.R.U64': 1, 'USHF.R.U32.HI': 1, 'IMAD.WIDE.U32': 3, 'ISETP.GE.U32.AND': 4, 'ISETP.GE.U32.AND.EX': 3, 'BRA': 4, 'SHF.R.U32.HI': 1, 'IMAD.SHL.U32': 4, 'LOP3.LUT': 3, 'IADD3': 9, 'IMAD.MOV.U32': 3, 'IMAD.X': 7, 'SHF.L.U64.HI': 3, 'IADD3.X': 2, 'ISETP.GE.U32.OR.EX': 1, 'LDG.E': 4, 'VIADD': 1, 'ISETP.NE.AND': 2, 'F2F.F64.F32': 4, 'DFMA': 2, 'ISETP.NE.OR': 1, 'LDC.64': 3, 'SHFL.DOWN': 10, 'DADD': 13, 'DMUL': 1, 'S2UR': 1, 'UMOV': 1, 'ULEA': 1, 'LEA': 1, 'ISETP.GT.U32.AND': 7, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'EXIT': 2, 'STG.E.64': 1, 'NOP': 13}",26,2048,0,0,pass,
_ZN3aut11block_scale15deferred_kernelILi32EfEEvPKfS3_PKT0_S6_mPd,deferred,32,fp32,1,2,10,"{'LDC': 2, 'S2R': 3, 'ULDC.64': 4, 'UIADD3': 1, 'CS2R': 3, 'UIADD3.X': 1, 'USHF.R.U64': 1, 'USHF.R.U32.HI': 1, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 4, 'ISETP.GE.U32.AND.EX': 3, 'BRA': 3, 'IMAD.MOV.U32': 3, 'LOP3.LUT': 2, 'LEA.HI': 1, 'IMAD.SHL.U32': 3, 'IMAD.X': 5, 'SHF.L.U64.HI': 3, 'ISETP.GE.U32.OR.EX': 1, 'LDC.64': 4, 'IADD3': 4, 'LDG.E': 4, 'ISETP.NE.OR': 1, 'F2F.F64.F32': 4, 'DFMA': 2, 'SHFL.DOWN': 10, 'DADD': 13, 'DMUL': 1, 'S2UR': 2, 'UMOV': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 2, 'LEA': 1, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'ISETP.NE.AND': 1, 'EXIT': 2, 'ULEA.HI.X': 1, 'IMAD.U32': 2, 'STG.E.64': 1, 'NOP': 8}",27,2048,0,0,pass,
