mode,stage,N,B,scale_type,path,variant_id,payload_type,arithmetic,grid,threads,round,order,time_ms,result,valid,job_id,node,seed_set_id,source_commit,binary_sha,sass_sha,audit_sha
full,initial,65536,16,fp32,per_element,per_element_b16_s32,fp32,fp64,512,256,0,0,0.0088320002,-18.338784789451143,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,0,none,baseline,raw_fp32,fp32,fp32,512,256,0,1,0.0087360004,-18.338773727416992,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,16,fp64,per_element,per_element_b16_s64,fp32,fp64,512,256,0,2,0.00729600014,-18.338784789451143,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp32,per_element,per_element_b128_s32,fp32,fp64,512,256,0,3,0.00745599996,-18.338786346400671,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,0,none,baseline,raw_fp64,fp64,fp64,512,256,0,4,0.00739199994,-18.338784326977759,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp64,deferred,deferred_b128_s64,fp32,fp64,512,256,0,5,0.00784000009,-18.338786346400674,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp32,deferred,deferred_b128_s32,fp32,fp64,512,256,0,6,0.00777600007,-18.338786346400674,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,0,none,baseline,fp32_to_fp64,fp32,fp64,512,256,0,7,0.00742400018,-18.338784326977759,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp64,per_element,per_element_b128_s64,fp32,fp64,512,256,0,8,0.00739199994,-18.338786346400671,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp32,deferred,deferred_b32_s32,fp32,fp64,512,256,0,9,0.00745599996,-18.338780496102714,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,16,fp32,deferred,deferred_b16_s32,fp32,fp64,512,256,0,10,0.00742400018,-18.338784789451147,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,16,fp64,deferred,deferred_b16_s64,fp32,fp64,512,256,0,11,0.00758400001,-18.338784789451147,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp32,per_element,per_element_b32_s32,fp32,fp64,512,256,0,12,0.00742400018,-18.338780496102711,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp64,per_element,per_element_b32_s64,fp32,fp64,512,256,0,13,0.00745599996,-18.338780496102711,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp64,deferred,deferred_b32_s64,fp32,fp64,512,256,0,14,0.00742400018,-18.338780496102714,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,16,fp32,deferred,deferred_b16_s32,fp32,fp64,512,256,1,0,0.00745599996,-18.338784789451147,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp32,per_element,per_element_b128_s32,fp32,fp64,512,256,1,1,0.0072639999,-18.338786346400671,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,16,fp32,per_element,per_element_b16_s32,fp32,fp64,512,256,1,2,0.00732799992,-18.338784789451143,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,0,none,baseline,fp32_to_fp64,fp32,fp64,512,256,1,3,0.00710400008,-18.338784326977759,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,16,fp64,per_element,per_element_b16_s64,fp32,fp64,512,256,1,4,0.00745599996,-18.338784789451143,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp64,per_element,per_element_b128_s64,fp32,fp64,512,256,1,5,0.0072639999,-18.338786346400671,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp64,per_element,per_element_b32_s64,fp32,fp64,512,256,1,6,0.00745599996,-18.338780496102711,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp64,deferred,deferred_b32_s64,fp32,fp64,512,256,1,7,0.0072639999,-18.338780496102714,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp64,deferred,deferred_b128_s64,fp32,fp64,512,256,1,8,0.00784000009,-18.338786346400674,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp32,deferred,deferred_b128_s32,fp32,fp64,512,256,1,9,0.00828799978,-18.338786346400674,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,0,none,baseline,raw_fp64,fp64,fp64,512,256,1,10,0.00732799992,-18.338784326977759,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,0,none,baseline,raw_fp32,fp32,fp32,512,256,1,11,0.00742400018,-18.338773727416992,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp32,per_element,per_element_b32_s32,fp32,fp64,512,256,1,12,0.00736000016,-18.338780496102711,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,16,fp64,deferred,deferred_b16_s64,fp32,fp64,512,256,1,13,0.00742400018,-18.338784789451147,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp32,deferred,deferred_b32_s32,fp32,fp64,512,256,1,14,0.00729600014,-18.338780496102714,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp32,per_element,per_element_b32_s32,fp32,fp64,512,256,2,0,0.00729600014,-18.338780496102711,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp64,deferred,deferred_b32_s64,fp32,fp64,512,256,2,1,0.00755200023,-18.338780496102714,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp64,per_element,per_element_b32_s64,fp32,fp64,512,256,2,2,0.00767999981,-18.338780496102711,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp64,per_element,per_element_b128_s64,fp32,fp64,512,256,2,3,0.0071680001,-18.338786346400671,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp32,deferred,deferred_b128_s32,fp32,fp64,512,256,2,4,0.00793599989,-18.338786346400674,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,0,none,baseline,fp32_to_fp64,fp32,fp64,512,256,2,5,0.0072639999,-18.338784326977759,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,32,fp32,deferred,deferred_b32_s32,fp32,fp64,512,256,2,6,0.00764800003,-18.338780496102714,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,16,fp64,per_element,per_element_b16_s64,fp32,fp64,512,256,2,7,0.00745599996,-18.338784789451143,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,16,fp32,per_element,per_element_b16_s32,fp32,fp64,512,256,2,8,0.00745599996,-18.338784789451143,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp32,per_element,per_element_b128_s32,fp32,fp64,512,256,2,9,0.0072639999,-18.338786346400671,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,0,none,baseline,raw_fp64,fp64,fp64,512,256,2,10,0.00764800003,-18.338784326977759,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,0,none,baseline,raw_fp32,fp32,fp32,512,256,2,11,0.00755200023,-18.338773727416992,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
full,initial,65536,128,fp64,deferred,deferred_b128_s64,fp32,fp64,512,256,2,12,0.00771200005,-18.338786346400674,1,460445,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,99410d5765f9e7e34b3dc8570f44c2d70fcfdcb0,ec4d92bccca4c2ebb8197b6daf4d59d89ca35fbbe6d9bdf700cf828079d3533b,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
