N,stage,variant_id,n,q1_ms,median_ms,q3_ms,ratio_fp32_to_fp64
65536,initial,deferred_b128_s32,50,0.00780799985,0.00790399965,0.007992000320000001,1.078602584100465
65536,initial,deferred_b128_s64,50,0.007784000015,0.00790399965,0.007992000320000001,1.078602584100465
65536,initial,deferred_b16_s32,50,0.00733599998,0.00742400018,0.0074800001475,1.0131004723045904
65536,initial,deferred_b16_s64,50,0.00739199994,0.00745599996,0.00755200023,1.0174672545575028
65536,initial,deferred_b32_s32,50,0.00739199994,0.00745599996,0.00755200023,1.0174672545575028
65536,initial,deferred_b32_s64,50,0.00745599996,0.00751999998,0.00758400001,1.0262008818362542
65536,initial,fp32_to_fp64,50,0.00729600014,0.00732799992,0.00745599996,1.0
65536,initial,per_element_b128_s32,50,0.00732799992,0.00742400018,0.00748800021,1.0131004723045904
65536,initial,per_element_b128_s64,50,0.0074,0.0075040000949999994,0.007607999837500001,1.0240174913921123
65536,initial,per_element_b16_s32,50,0.00732799992,0.00742400018,0.0074800001475,1.0131004723045904
65536,initial,per_element_b16_s64,50,0.00736000016,0.00742400018,0.00748800021,1.0131004723045904
65536,initial,per_element_b32_s32,50,0.00732799992,0.00739199994,0.00745599996,1.0087336272787515
65536,initial,per_element_b32_s64,50,0.00742400018,0.00748800021,0.00755200023,1.0218341009479706
65536,initial,raw_fp32,50,0.00736000016,0.00739199994,0.00745599996,1.0087336272787515
65536,initial,raw_fp64,50,0.00729600014,0.00739199994,0.00745599996,1.0087336272787515
1048576,rerun,deferred_b128_s32,50,0.009935999987500001,0.0108960001,0.011672000424999999,1.04769231227071
1048576,rerun,deferred_b128_s64,50,0.010240000175,0.0108000003,0.011640000425,1.0384615623150886
1048576,rerun,deferred_b16_s32,50,0.0109760002,0.0116320001,0.012199999949999998,1.118461542699704
1048576,rerun,deferred_b16_s64,50,0.010696000225,0.0115839997,0.011927999775,1.1138461196449705
1048576,rerun,deferred_b32_s32,50,0.011056000100000001,0.0119359996,0.0124319999,1.147692263713018
1048576,rerun,deferred_b32_s64,50,0.011247999925,0.0120639997,0.012760000325,1.159999965576923
1048576,rerun,fp32_to_fp64,50,0.00936800009,0.01040000005,0.0114559997,1.0
1048576,rerun,per_element_b128_s32,50,0.010511999925,0.0110399998,0.011575999875,1.061538437204142
1048576,rerun,per_element_b128_s64,50,0.009639999829999999,0.01067200025,0.011416000325,1.0261538652588758
1048576,rerun,per_element_b16_s32,50,0.0099919997125,0.0107519999,0.0115200004,1.033846139260355
1048576,rerun,per_element_b16_s64,50,0.0099600001675,0.0105920001,0.0114000002,1.0184615431804733
1048576,rerun,per_element_b32_s32,50,0.010047999662500001,0.01065600015,0.011351999825,1.024615394112426
1048576,rerun,per_element_b32_s64,50,0.00947200041,0.01064,0.0118079996,1.023076918158284
1048576,rerun,raw_fp32,50,0.0092879999425,0.010207999950000001,0.01138400005,0.9815384520118344
1048576,rerun,raw_fp64,50,0.0115200002,0.01176000015,0.0125759998,1.130769239755917
16777216,initial,deferred_b128_s32,50,0.0835840032,0.08388799799999999,0.0842560008,1.1289836154781951
16777216,initial,deferred_b128_s64,50,0.08385599772499999,0.0842400007,0.084416002,1.1337209472822523
16777216,initial,deferred_b16_s32,50,0.091112000875,0.0914560035,0.0918719992,1.2308355420356611
16777216,initial,deferred_b16_s64,50,0.091583997,0.0919359997,0.09237600305,1.2372954392582867
16777216,initial,deferred_b32_s32,50,0.0934080034,0.0937119983,0.0941120014,1.2611972293631382
16777216,initial,deferred_b32_s64,50,0.092807998875,0.0932960026,0.0935679972,1.2555986653181435
16777216,initial,fp32_to_fp64,50,0.0739839971,0.0743039995,0.07480800335,1.0
16777216,initial,per_element_b128_s32,50,0.07828000004999999,0.0785920024,0.07899999805,1.0577089110795443
16777216,initial,per_element_b128_s64,50,0.076648002475,0.0768959969,0.077320000125,1.0348836861735822
16777216,initial,per_element_b16_s32,50,0.07837600075,0.078768,0.07902399827500001,1.0600775265132263
16777216,initial,per_element_b16_s64,50,0.0784640014,0.0787360035,0.07906399855,1.0596469103927575
16777216,initial,per_element_b32_s32,50,0.076464001125,0.0769599974,0.0773120001,1.0357450193512128
16777216,initial,per_element_b32_s64,50,0.07626399955,0.0768319964,0.0770559981,1.0340223529959516
16777216,initial,raw_fp32,50,0.073159998275,0.0734720007,0.073616001775,0.9888027723191402
16777216,initial,raw_fp64,50,0.084264000875,0.08449600265,0.08489599825000001,1.1371662793198636
67108864,initial,deferred_b128_s32,50,0.295424014,0.295823991,0.296288013,1.126004822849357
67108864,initial,deferred_b128_s64,50,0.30180799975,0.3021920025,0.302703999,1.1502435995514135
67108864,initial,deferred_b16_s32,50,0.330919996,0.331376001,0.33185598975,1.2613276362109973
67108864,initial,deferred_b16_s64,50,0.3326160085,0.3331039995,0.33387999225000004,1.2679049751154559
67108864,initial,deferred_b32_s32,50,0.341311991,0.3423520025,0.34290399375,1.3031059604869408
67108864,initial,deferred_b32_s64,50,0.341152012,0.3413920105,0.34176001,1.299451910596522
67108864,initial,fp32_to_fp64,50,0.2620640025,0.2627200035,0.26312799725,1.0
67108864,initial,per_element_b128_s32,50,0.275015995,0.275856003,0.2764719945,1.0499999974307248
67108864,initial,per_element_b128_s64,50,0.27040798974999997,0.270832002,0.27147200699999996,1.0308769731726957
67108864,initial,per_element_b16_s32,50,0.28346399975,0.28392000500000003,0.284352005,1.080694279908534
67108864,initial,per_element_b16_s64,50,0.28044799,0.28140799699999997,0.2820319905,1.0711327392320165
67108864,initial,per_element_b32_s32,50,0.2774319945,0.2782239915,0.27877601274999997,1.0590133518325717
67108864,initial,per_element_b32_s64,50,0.27680800875,0.2771839945,0.2778079955,1.0550547762153937
67108864,initial,raw_fp32,50,0.2594159915,0.2601120025,0.260735989,0.9900730779337097
67108864,initial,raw_fp64,50,0.30449599,0.3050720095,0.305408001,1.1612058672190144
268435456,initial,deferred_b128_s32,50,1.175904005,1.17708796,1.17828801,1.1335941679522699
268435456,initial,deferred_b128_s64,50,1.2029919925,1.20430398,1.2051280100000001,1.1598045469513654
268435456,initial,deferred_b16_s32,50,1.29964805,1.30103999,1.302415965,1.2529661291724363
268435456,initial,deferred_b16_s64,50,1.3099360475,1.31118399,1.3122080275,1.2627353049948682
268435456,initial,deferred_b32_s32,50,1.3405839825,1.34131205,1.34256005,1.2917501231463648
268435456,initial,deferred_b32_s64,50,1.3375439949999999,1.338640035,1.339920015,1.2891768399902948
268435456,initial,fp32_to_fp64,50,1.0370960249999999,1.038368045,1.04036003,1.0
268435456,initial,per_element_b128_s32,50,1.0839439625,1.085295975,1.0862719725,1.0451939273612758
268435456,initial,per_element_b128_s64,50,1.053200035,1.05417603,1.0556560175,1.0152238746907896
268435456,initial,per_element_b16_s32,50,1.1039519625,1.1054240499999999,1.10680801,1.0645782632881389
268435456,initial,per_element_b16_s64,50,1.100384,1.10155201,1.1034799825000001,1.0608492964553817
268435456,initial,per_element_b32_s32,50,1.088071975,1.088959995,1.09008002,1.0487225606022959
268435456,initial,per_element_b32_s64,50,1.08225599,1.08320004,1.0847280025,1.043175437857393
268435456,initial,raw_fp32,50,1.0266320150000001,1.027776005,1.029231995,0.9897993394047484
268435456,initial,raw_fp64,50,1.207688005,1.20876801,1.21095201,1.1641036295565126
