symbol,kind,B,scale_type,fmul,dmul,dfma,shuffle,opcode_histogram,registers,shared_bytes,spill_loads,spill_stores,status,reason
_ZN3aut26block_scale_reconstruction15reduce64_kernelEPKdPd,reduce64,0,none,0,0,0,0,"{'LDC': 2, 'S2R': 1, 'ULDC.64': 1, 'BSSY': 1, 'CS2R': 2, 'ISETP.GT.AND': 1, 'BRA': 3, 'IMAD.MOV.U32': 1, 'LDC.64': 2, 'IMAD.WIDE': 1, 'LDG.E.64': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'DADD': 9, 'BSYNC': 1, 'S2UR': 1, 'UMOV': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 1, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'ISETP.NE.AND': 1, 'EXIT': 2, 'STG.E.64': 1, 'NOP': 10}",14,2048,0,0,pass,
_ZN3aut26block_scale_reconstruction15reduce32_kernelEPKfPf,reduce32,0,none,0,0,0,0,"{'LDC': 2, 'S2R': 1, 'ULDC.64': 1, 'BSSY': 1, 'IMAD.MOV.U32': 2, 'ISETP.GT.AND': 1, 'BRA': 3, 'MOV': 1, 'LDC.64': 2, 'IMAD.WIDE': 1, 'LDG.E': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'FADD': 9, 'BSYNC': 1, 'S2UR': 1, 'UMOV': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 1, 'STS': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS': 17, 'ISETP.NE.AND': 1, 'EXIT': 2, 'STG.E': 1, 'NOP': 10}",11,1024,0,0,pass,
_ZN3aut26block_scale_reconstruction12raw64_kernelEPKdS2_mPd,raw_fp64,0,none,0,0,1,0,"{'LDC': 2, 'S2R': 2, 'IMAD.MOV.U32': 3, 'ULDC': 1, 'ULDC.64': 4, 'BSSY': 1, 'CS2R': 2, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 2, 'ISETP.GE.U32.AND.EX': 2, 'BRA': 3, 'UMOV': 2, 'VIADD': 1, 'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E.64': 2, 'IMAD.X': 1, 'DFMA': 1, 'BSYNC': 1, 'S2UR': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 2, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'DADD': 8, 'ISETP.NE.AND': 1, 'EXIT': 2, 'LDC.64': 1, 'LEA.HI.X': 1, 'STG.E.64': 1, 'NOP': 13}",18,2048,0,0,pass,
_ZN3aut26block_scale_reconstruction16widened32_kernelEPKfS2_mPd,fp32_to_fp64,0,none,0,0,1,0,"{'LDC': 2, 'S2R': 2, 'IMAD.MOV.U32': 3, 'ULDC': 1, 'ULDC.64': 4, 'BSSY': 1, 'CS2R': 2, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 2, 'ISETP.GE.U32.AND.EX': 2, 'BRA': 3, 'UMOV': 2, 'VIADD': 1, 'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'F2F.F64.F32': 2, 'DFMA': 1, 'BSYNC': 1, 'S2UR': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 2, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'DADD': 8, 'ISETP.NE.AND': 1, 'EXIT': 2, 'LDC.64': 1, 'LEA.HI.X': 1, 'STG.E.64': 1, 'NOP': 11}",22,2048,0,0,pass,
_ZN3aut26block_scale_reconstruction12raw32_kernelEPKfS2_mPf,raw_fp32,0,none,0,0,0,0,"{'LDC': 2, 'S2R': 2, 'IMAD.MOV.U32': 5, 'ULDC': 1, 'ULDC.64': 4, 'BSSY': 1, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 2, 'ISETP.GE.U32.AND.EX': 2, 'BRA': 3, 'UMOV': 2, 'VIADD': 1, 'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'FFMA': 1, 'BSYNC': 1, 'S2UR': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 2, 'STS': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS': 17, 'FADD': 8, 'ISETP.NE.AND': 1, 'EXIT': 2, 'LDC.64': 1, 'LEA.HI.X': 1, 'STG.E': 1, 'NOP': 13}",16,1024,0,0,pass,
_ZN3aut26block_scale_reconstruction26deferred_local_b128_kernelIdEEvPKfS3_PKT_S6_mPd,deferred_local,128,fp64,0,1,2,0,"{'LDC': 2, 'S2R': 2, 'ULDC.64': 7, 'UIADD3': 1, 'CS2R': 3, 'UIADD3.X': 1, 'USHF.R.U64': 1, 'USHF.R.U32.HI': 1, 'IMAD.WIDE.U32': 3, 'ISETP.GE.U32.AND': 5, 'ISETP.GE.U32.AND.EX': 4, 'BRA': 5, 'IMAD.SHL.U32': 4, 'LOP3.LUT': 2, 'IADD3': 9, 'IMAD.X': 8, 'LEA.HI': 1, 'IMAD.MOV.U32': 1, 'SHF.L.U64.HI': 3, 'ISETP.GE.U32.OR.EX': 1, 'LDG.E': 2, 'VIADD': 1, 'ISETP.NE.AND': 2, 'F2F.F64.F32': 2, 'DFMA': 2, 'BSSY': 1, 'IADD3.X': 2, 'LDG.E.64': 2, 'DMUL': 1, 'BSYNC': 1, 'S2UR': 1, 'UMOV': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 1, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'DADD': 8, 'EXIT': 2, 'LDC.64': 1, 'STG.E.64': 1, 'NOP': 14}",29,2048,0,0,pass,
_ZN3aut26block_scale_reconstruction26deferred_local_b128_kernelIfEEvPKfS3_PKT_S6_mPd,deferred_local,128,fp32,0,1,2,0,"{'LDC': 2, 'S2R': 2, 'ULDC.64': 7, 'UIADD3': 1, 'CS2R': 3, 'UIADD3.X': 1, 'USHF.R.U64': 1, 'USHF.R.U32.HI': 1, 'IMAD.WIDE.U32': 3, 'ISETP.GE.U32.AND': 5, 'ISETP.GE.U32.AND.EX': 4, 'BRA': 5, 'IMAD.SHL.U32': 4, 'LOP3.LUT': 2, 'IADD3': 9, 'IMAD.X': 8, 'LEA.HI': 1, 'IMAD.MOV.U32': 1, 'SHF.L.U64.HI': 3, 'ISETP.GE.U32.OR.EX': 1, 'LDG.E': 4, 'VIADD': 1, 'ISETP.NE.AND': 2, 'F2F.F64.F32': 4, 'DFMA': 2, 'BSSY': 1, 'IADD3.X': 2, 'DMUL': 1, 'BSYNC': 1, 'S2UR': 1, 'UMOV': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 1, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'DADD': 8, 'EXIT': 2, 'LDC.64': 1, 'STG.E.64': 1, 'NOP': 12}",29,2048,0,0,pass,
_ZN3aut26block_scale_reconstruction20reconstruct64_kernelILi128EdEEvPKfS3_PKT0_S6_mPd,reconstruct64,128,fp64,0,2,1,0,"{'LDC': 2, 'S2R': 2, 'IMAD.MOV.U32': 2, 'ULDC': 1, 'ULDC.64': 6, 'BSSY': 1, 'CS2R': 2, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 2, 'ISETP.GE.U32.AND.EX': 2, 'BRA': 3, 'UMOV': 2, 'VIADD': 1, 'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'SHF.R.U64': 1, 'IADD3': 5, 'IADD3.X': 4, 'LOP3.LUT': 2, 'LDG.E': 2, 'SHF.R.U32.HI': 1, 'LDG.E.64': 2, 'IMAD.X': 1, 'F2F.F64.F32': 2, 'DMUL': 2, 'DFMA': 1, 'BSYNC': 1, 'S2UR': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 2, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'DADD': 8, 'ISETP.NE.AND': 1, 'EXIT': 2, 'LDC.64': 1, 'LEA.HI.X': 1, 'STG.E.64': 1, 'NOP': 14}",24,2048,0,0,pass,
_ZN3aut26block_scale_reconstruction20reconstruct64_kernelILi32EdEEvPKfS3_PKT0_S6_mPd,reconstruct64,32,fp64,0,2,1,0,"{'LDC': 2, 'S2R': 2, 'IMAD.MOV.U32': 2, 'ULDC': 1, 'ULDC.64': 6, 'BSSY': 1, 'CS2R': 2, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 2, 'ISETP.GE.U32.AND.EX': 2, 'BRA': 3, 'UMOV': 2, 'VIADD': 1, 'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'SHF.R.U64': 1, 'IADD3': 5, 'IADD3.X': 4, 'LOP3.LUT': 2, 'LDG.E': 2, 'SHF.R.U32.HI': 1, 'LDG.E.64': 2, 'IMAD.X': 1, 'F2F.F64.F32': 2, 'DMUL': 2, 'DFMA': 1, 'BSYNC': 1, 'S2UR': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 2, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'DADD': 8, 'ISETP.NE.AND': 1, 'EXIT': 2, 'LDC.64': 1, 'LEA.HI.X': 1, 'STG.E.64': 1, 'NOP': 14}",24,2048,0,0,pass,
_ZN3aut26block_scale_reconstruction20reconstruct64_kernelILi16EdEEvPKfS3_PKT0_S6_mPd,reconstruct64,16,fp64,0,2,1,0,"{'LDC': 2, 'S2R': 2, 'IMAD.MOV.U32': 2, 'ULDC': 1, 'ULDC.64': 6, 'BSSY': 1, 'CS2R': 2, 'IMAD.WIDE.U32': 2, 'ISETP.GE.U32.AND': 2, 'ISETP.GE.U32.AND.EX': 2, 'BRA': 3, 'UMOV': 2, 'VIADD': 1, 'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'SHF.R.U64': 1, 'IADD3': 5, 'IADD3.X': 4, 'LOP3.LUT': 2, 'LDG.E': 2, 'SHF.R.U32.HI': 1, 'LDG.E.64': 2, 'IMAD.X': 1, 'F2F.F64.F32': 2, 'DMUL': 2, 'DFMA': 1, 'BSYNC': 1, 'S2UR': 1, 'ISETP.GT.U32.AND': 7, 'ULEA': 1, 'LEA': 2, 'STS.64': 9, 'BAR.SYNC.DEFER_BLOCKING': 9, 'LDS.64': 17, 'DADD': 8, 'ISETP.NE.AND': 1, 'EXIT': 2, 'LDC.64': 1, 'LEA.HI.X': 1, 'STG.E.64': 1, 'NOP': 14}",24,2048,0,0,pass,
